dialogue,Speaker,talktime,math_density,uptake,student_reasoning,focusing_questions
"Okay, do you see the tools on the left hand side of your screen, So we're going to practice using some of them. The third one down. That's a pencil. If you click up above, you'll see a color and size box that pops up if you want to change the color or size of anything that you are drawing.",Tutor,60,0,,,0.0
And?,Student,1,0,,,
"Then there is a square with a t in it. That's if you would rather insert a textbox and type instead of draw. And then we're going to practice erasing this bottom tool. The trash can don't touch it, cause it will erase everything, And then we can't get your work back, but let's practice drawing something and then I'll show you how to erase it, so you can choose to either type or draw something. and when you click there you go, then perfect. Then if you want to erase what you drew, the top arrow is your select tool. so you select what it is that you want to erase, and then once it's selected, you hit the arrow or the this button down here. That's an arrow with an x in it and that will erase just that thing that's selected. so try to erase your hello. Okay, so are you able to use the top arrow to select it and see like those boxes around it that allows you to move?",Tutor,175,1,,,0.0
Itct.,Student,1,0,,,
"So once it's selected like that, then there is a button down here that has an arrow with an x in the middle of it. If you click that there you go. Does that make sense? Okay? The other thing, you can minimize your chat box and make your screen bigger, Because we won't be using the chat. We'll just be talking back and forth like this. I will ask you lots of questions. Just because I ask you something doesn't mean that it's wrong or that I'm looking for a specific answer. I just want to know more about how you are thinking and then it's hard for me to see your, since I can't see your face if I ask you a question, And you want some more time to think. Just tell me that so that I don't interrupt your thinking, so, um, I'm not sure. Give me some time to think and then I will stop asking questions so that you can think deeply. Okay, all right, Do you have any questions before we start? I'm sorry, I can't hear you. Do you have any questions before we start? Okay, I'm going to change the screen. Do you see something different nowake?",Tutor,206,0,,,0.0
A.,Student,1,0,,,
Minu to read it and thenen situationkath.,Tutor,7,0,,,0.0
What?,Student,1,0,,,
Do you think is happening in this situation?,Tutor,8,0,,,1.0
"A Crd journey craft in Providence to Ne. York City, It looks like the a little huddle in between them, like the New York.",Student,24,0,,0.0,
"So there's a car that's going to start driving in Providence, that'll drive down that road and then that puddle that you see there by New York City. That's just like.",Tutor,31,0,1.0,,0.0
Representing.,Student,1,0,,,
"All of New York City, and then they'll keep driving. And where do they end up? Where do they start And where do they?",Tutor,24,0,,,0.0
Ending.,Student,1,0,,,
"Place or they end up in the trip? Yeah, Providence is where they start, and then Newark is where they end. Cool. What are some things that we could measure in this situation? If we units would we use? So if we wereing to measure the distance between something and this trip, how could I measure that? What might I use? What was Adam? Sorry, I can't hear you. The chart. Okay, cool. What are some other things that we could measure in this situation? The what? Okay? So we could use a line graph somehow to keep track of something cool. All right, I am going to uncover something and you tell me how it's similar or different to what you were thinking about. Is this similar or different to things you were thinking about measuring which one similar or different. What was similar? Ah, yeah, so you were thinking about the distance that we could measure. This also has. I'm sorry, Go ahead, okay, so we can also keep track of the time and we would use ours to measure the timek.",Tutor,184,12,,,0.0
If.,Student,1,0,,,
"You look at the map and the graph describe what's happening during each stage of the journey. A. are you using headphones or a tablet or just a computer? A computer? Do you know where your Mike is on the computer because I can barely hear you. So if you're able to scoop closer or talk closer to the mike, Okay, all right, So you said What's going on in the journey from A to Okay? So from A to F, something is going up happening from A to B. Any ideas? Okay? So from A to B, the miles are going up. What is happening with the time from A to B. Cool. I'm gonna type some words up here for you and hang on one second. All right and I challenge you to use these purple words to describe what's happening with these things that are changing in this situation. So we have distance that is changing somehow, and we have time that is changing somehow. So from A to B, What is happening with distance and time? challenging yourself to use these purple words? Yeah, be even cool. Be even more specific. What is increasing? Okay? is it what is happening with distance from A to B? Okay? So is distance increasing decreasing or staying the same? Ok? And even more specifically, you said it's increasing by fifty miles. Oay. I typed what I think you said Red It and see if you want me to change anything. Okay, where do you think points A and B would be located on the map? And you can use your drawing tools or your typing tools to label where you think point A should be and where point B should be located on the map. Yeah, if we look up here, the map shows a car journey from Providence, so that means Providence is where we're starting. Nice And actually, I'm going to make this a little bit bigger. Actually, use a dot and put a dot where you think point A would be and point B. You can either draw your own dot or you can use mine and pull it over on your end. Did you draw your dots on the map, like on the road or your? What was that? Yeah, Where do you think it would be located on the road? How did you decide to put B? Where you put it? Okay, What were you thinking about To calculate where you thought it would go? Okay? So you were trying to estimate about where fifty miles would be Okay. Cool, Keep going. Where do you think Point C would be locateds?",Tutor,447,6,,,1.0
One and two hours next.,Student,5,0,,,
