dialogue,Speaker,talktime,math_density,uptake,student_reasoning,focusing_questions
"All right, cool. So first I will explain some of the tools that we're going to use. We'll practice using them and then I'll explain a little bit about what it'll be like when we're working together. Sound good? Sounds great. Okay, so can you see my arrow moving around? Yep. I think I can see yours too. Yep, perfect. There are tools over here on the left-hand side. Okay. Oh, I can press these. You see them? Mm-hmm. All right, so the pencil, whenever you click on it, right above it, there's a color and a size bar that pops up. Oh, I see. So if you want to change your color or size for anything that we're writing or drawing, you can do it there. And then the T in the center of a box, if you click that, it will allow you to add a text box if you prefer to type. Okay. And then we're gonna practice erasing. So whatever you do, don't hit the trash can button. Okay. If you hit that button, it erases all of your beautiful thinking and there's no way for us to get it back.",Tutor,195,1,,,0.0
"Oh, so then like if I want to erase something, do I press the X? So that's",Student,17,0,,0.0,
"what we're gonna practice. So draw something with the pencil. Okay, I'll draw a little heart. Beautiful. Then you have to select what you want to erase first. And so this top arrow is your select arrow. Make sure that's highlighted. Click on whatever it is you want to erase. Mm-hmm. And then you hit the X, the arrow, yeah, there you go. Gotcha, okay. Cool? Yeah. All right. And then you can close your chat box if it's open. Okay, yeah, let me do that. Okay, we will, that way it makes your screen bigger. Mm-hmm. And we'll be talking back and forth like this. Okay. And I will ask you lots of questions. Okay. But just because I ask you a question doesn't mean you did something wrong or I want to know a specific answer. I just want to know as much as I can about your thinking. Okay. And on that note, you know how sometimes you're thinking quietly inside your head? Yeah. The more you can say those things out loud, even if they're not fully formed thoughts, the better. It really helps me understand how you're thinking about something. Okay, I'll practice that. Even if it's like, um, I'm not sure what she's talking about right now. Say those things. And then if you, if I ask you something and you're like, oh, not sure, I need some time to think about that, just verbalize that you need time so that I don't interrupt your thinking by asking or talking more. Okay, I got you. Cool. Are you ready to get started? Yeah. Okay, I'm gonna change the page. Do you see something different now? Yeah, I see the map. Yeah. So take a minute to read it and look it over and then explain to me what you think is happening in this situation. Okay.",Tutor,312,0,1.0,,0.0
"Um, it looks like, um, like the lines are the, what's it called? What's the word? It's the, oh my gosh, it's on the tip of my tongue. It's kind of like the path that the driver took to get to Newark. Point to what you're talking about there. What",Student,50,1,,0.0,
"do you see? Oh, um, these. Okay. So yeah, that's the I-95, the interstate. Mm-hmm. Okay. Cool. What are some things that you think we might be able to",Tutor,29,0,1.0,,0.0
"measure in this situation? Um, things we'll be able to measure. Oh, sorry. Sorry, give me one second. Sorry. Um, no worries. Oh, oopsies. No, okay. Something we'd be able to measure? I mean,",Student,34,3,,0.0,
"like, like accurately? Just anything that might be happening in a situation that we",Tutor,14,0,1.0,,0.0
"could think about measuring. Mm-hmm. I want to say, like, how far Providence is from New York City, but like, that wouldn't be accurate. So what you're saying is, if we",Student,31,1,,0.0,
"had some more information, we could find how far New York City is from Providence. Yeah. Yeah? Cool. So what would we be measuring there? What is that thing that we would be measuring? The distance. Yeah. So what are some units we could use to measure the",Tutor,48,5,1.0,,0.0
"distance? Um, we could do, like, how many hours it is away, how many miles it takes. Yeah, those are the main ones that come to mind. Okay, cool. Is there anything else you can think",Student,36,1,,0.0,
"of that we might be able to measure? Not sure. Cool, and it's totally okay and beautiful to say that at any point, too. Okay? Okay. All right, now I'm going to uncover something, and I want you to think about how it was similar or different to what you were thinking about. Okay. Oh, that's what I said. Say more. So you're saying that it's",Tutor,66,1,1.0,,0.0
"similar to what you were thinking? Yeah. Explain more. Um, like, with what I said, like, how many hours it's away and how many miles it takes to get there. Okay.",Student,31,0,,0.0,
"So looking at the map and the graph, explain what is happening during each stage of this journey.",Tutor,18,1,1.0,,1.0
"What is happening? Um, on the graph, it says that they were able to drive 50 miles in one hour from point A to point B, and then, um, they were still only able to drive 50 miles in, um, an hour and a half from point B to point C, and then from point C to point D. That's about, that's 100 miles in, like, almost two and a half hours. And then, what do the squiggly lines mean?",Student,80,2,,0.0,
"Oh, great question. Yeah. Think about that for a minute. What do you think those squiggly lines",Tutor,17,1,1.0,,1.0
"might mean? Um, traffic. Okay. Why do you think it's traffic? Because right here, it's, like, street, and it kind of looks like easy driving and stuff, and then it's here, so it's like, oh, there was an interruption in the drive. Well, I'm gonna, I want to know a little bit more about",Student,54,0,,0.0,
"that. What makes something an easy drive, and what makes something an interruption in your mind?",Tutor,16,0,1.0,,0.0
"Because it's, like, straight, so it's like, oh, um, like, comparing these two, like, this is straight, so it's like, oh, like, nothing really was stopping the driver, and they were just, like, they just kept going. But here, it looks like the driver was being stopped by something, and there was an interruption in the, in the trip. Okay. So you've been pointing to this blue line.",Student,68,1,,0.0,
Mm-hmm. Is this blue line representing distance or time or something else?,Tutor,12,2,1.0,,0.0
"Um, I feel like, hmm, let me think about that one. Cool. Time or distance? I feel like the blue line represents the distance, kind of. not the distance kinda.",Student,30,4,,0.0,
What are you thinking?,Tutor,4,0,0.0,,1.0
I don't know. I'm trying to figure it out. I'm not very sure.,Student,13,0,,0.0,
"Okay. So your brain is saying, all right, there's distance and time here in this situation. The blue line has something to do, you've described, like a, did you say easy drive? Or an interrupted drive? Yeah. Yeah, like the straight lines was like an easy drive.",Tutor,47,3,0.0,,0.0
"And then the little squigglies, like, oh, there was an interruption or turbulence in the drive, kind of. Cool thinking. All right.",Student,22,0,,0.0,
"So we're going to dig a little bit deeper into that and try to make sense of what is this thing that the blue line is keeping track of. Okay? All right. So on the map, there's no letters. But there's some letters on the graph. Yeah. Where do you think those letters on the graph would be located on the map? And you can use your drawing tool or your text tool, whatever makes sense for you to label.",Tutor,80,3,0.0,,0.0
I could just like point at it and stuff. I think that's easiest for me.,Student,15,0,,0.0,
Okay.,Tutor,1,0,0.0,,0.0
"So I feel like Providence was like right here, because that's a starting point. And then.",Student,16,0,,0.0,
So just you're saying then this point would be point A?,Tutor,11,0,1.0,,0.0
Yeah.,Student,1,0,,,
Okay.,Tutor,1,0,,,0.0
And then 50 miles. I don't know. Point B. Because it took four hours. How many hours did it take to get there?,Student,23,0,,0.0,
How could you figure that out?,Tutor,6,0,0.0,,1.0
"I think. Let me see. I think it took four hours, and this is where it like. And point F is like when it's at. When the person reaches Newark.",Student,30,0,,0.0,
Point F would be here?,Tutor,5,0,1.0,,0.0
Yeah.,Student,1,0,,,
And I saw what you did with your pointer. Were you reading that four hours is right here? Yeah.,Tutor,19,0,,,0.0
"Cool. Okay. And then point E. Point E is right here, because it's straight. And over here is like squiggly and stuff. It kind of looks like this if it was enlarged.",Student,32,0,,0.0,
Okay. So you're thinking the point E is here? Yeah. Is that because this little tail of the road looks like this little tail right here?,Tutor,26,0,1.0,,1.0
Yeah.,Student,1,0,,,
So you're saying that this squiggly part is kind of like this squiggly line where?,Tutor,15,1,,,1.0
"Yeah, like right over here-ish.",Student,5,0,,,
"Okay. So I'm going to have you think for a minute and make some predictions, and then point to where you want to label points B, C, and D.",Tutor,29,0,0.0,,0.0
Okay.,Student,1,0,,,
Okay. Okay. What are you trying to sort through in your head?,Tutor,12,0,,,1.0
"I'm trying to sort through where the straight points would be, because I don't think they would be, like, all the way up here. So I'm like maybe the whole theory with, like, all of this being this part was wrong. I'm trying to figure out what would be right.",Student,50,1,,0.0,
"So you're trying to find, because A to B is straight on the graph, you're trying to find a straight part on the map?",Tutor,24,1,1.0,,1.0
Yeah.,Student,1,0,,,
To connect that?,Tutor,3,0,,,1.0
Yeah.,Student,1,0,,,
"Okay. Cool. That really helps me understand how you're making sense of this. I'm going to type some words up here. Okay. And I'm going to type them in purple. We're going to call these our purple power words. So as I ask you questions, I want you to challenge yourself to use these purple power words as much as possible. Okay? Yeah. Okay. So first we're going to look at just distance. And from A to B, describe to me what is happening with distance.",Tutor,86,2,,,0.0
It's staying the same.,Student,4,0,,,
And say it in a complete sentence.,Tutor,7,0,,,0.0
"Oh, my gosh. Not staying the same. I mean, the distance is increasing from zero to 50.",Student,17,1,,0.0,
Cool. I'm going to write that up here. So from A to B.,Tutor,13,0,0.0,,0.0
What did you say again?,Student,5,0,,,
"There's an increase in distance. In distance. Anything else you want to say about it? Are you happy with this? I'm happy with that. Okay. So from A to B, there is an increase in distance. Now, what's going on with this thing? What's going on with this thing?",Tutor,49,3,0.0,,1.0
What's happening from A to B? Sorry. The time. There's an increase in.,Student,13,0,,0.0,
"So from A to B, there's an increase in distance. And an increase in time. Yeah. Okay. So if I'm on this map. And you said that we're taking the journey and we're starting in Providence and we're driving down this path or interstate. Yeah. And we end up in Newark. From A to B. If I'm going to. I'm going to go to A. Okay. So point B has to be at a place where there isn't. To show an increase in distance and an increase in time. So what it makes sense for B to be located over here. No, no. That's got to show an increase in the journey. Okay.",Tutor,113,2,1.0,,0.0
So take your best guess of where you think point B could be located on the map. Okay. I think point B.,Student,22,0,,0.0,
Would be.,Tutor,2,0,0.0,,0.0
Around the right here. Okay. Why do you want it to go there? Because that shows. Like. The driver is moving forward.,Student,22,0,,0.0,
And that looks like a good enough distance. Yeah. And you're looking at the straight thing here.,Tutor,17,1,1.0,,0.0
Yeah.,Student,1,0,,,
Okay. So let's also explore this. Deeper. Because you've said now. From A to B. There is an increase in distance. The distance increases by 50 miles. And the time increases by one hour. And something. Is going on here with this line that you noticed earlier. It's this smooth line. So it's an easy drive. I think is the word you used. Yeah. So. What's easy about it? What's happening from A to B.,Tutor,75,4,,,1.0
It's just. It's. Like. It's just like. An equal. Okay.,Student,10,0,,0.0,
I don't know how to explain it. Okay. That's okay. I want your brain to sit with that a little bit.,Tutor,21,0,0.0,,0.0
Okay.,Student,1,0,,,
Okay. We're going to dig some more here. Where. What is going on from B to C. And again. Use these purple power words.,Tutor,24,0,,,0.0
The distance has stayed the same. But there is an increase in D. And time.,Student,15,1,,0.0,
So what's going on with the car? If the distance is staying the same.,Tutor,14,1,1.0,,0.0
But there's an increase. Maybe the car is stopped.,Student,9,0,,0.0,
Your voice is like. Maybe it's stopped. Are you convinced?,Tutor,10,0,1.0,,0.0
It's stopped. Yeah. I think it's stopped. I think it's stopped because. There's been no. Increase in the amount of distance. So it's like staying still. What is. What are they doing?,Student,32,1,,0.0,
Time.,Tutor,1,0,1.0,,0.0
I don't know.,Student,3,0,,,
"Maybe they ran out of gas. Could be. Maybe they are also like, maybe there was a car accident. Has completely stopped. Yeah. But something's gone on. That says the. Distance hasn't changed. And time has increased. So how long was the car stopped for? Half an hour. Okay.",Tutor,49,1,,,0.0
Where would you like to put point C on the map? Stay at the same. Point as B. Because the car hasn't moved. So it's still be.,Student,27,0,,0.0,
Technically at that point. Okay. So those are at the same point on the map. All right.,Tutor,17,0,1.0,,0.0
What goes on from C to D? So. The car has moved. And it's now at a hundred miles away. Okay. It is now. It has been approximately two and a half hours.,Student,33,2,,0.0,
Since. Yeah. So from a to B.,Tutor,7,0,1.0,,0.0
