text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
Okay.  So let’s draw our eyes up here.  We’re gonna be working on a few things up here today and one of them is our objective we’ll start with.  Who wants to read what we’re gonna do today?  [Inaudible] nice loud voice.,teacher,42,0,,,0.0
Determining that volume [Inaudible] cubic centimeters of the small part [Inaudible],student,11,2,,0.0,
Help her with that word.  What’s this word?,teacher,8,0,0.0,,0.0
Prism.,student,1,1,,,
"Prism.  Who wants to try reading it also so they can hear it again?  Student B, nice and loud.",teacher,19,1,,,0.0
Determine the volume of a cubic centimeter of a small prism.,student,11,3,,0.0,
"Okay.  Remember we were talking about prisms with our volume exercises?  So we’re gonna talk about cubic centimeters today.  So, the first thing that we need to think about today is building a box.  So, last week you were building a lot of boxes using cubes this size.  Right?  Does anyone remember what the length of one of these was equal to?  We took a ruler.  What was the length?",teacher,70,7,1.0,,0.0
One inch.,student,2,0,,,
"One inch.  Okay?  So we call these cubic inches.   So, if I took my inch ruler and I held this blue cube up here, to the one inch, does it fit?  It might be a little harder to see back there but this was an inch.  Correct?  Okay. Today, we’re gonna be working with cubes but they’re going to be smaller.  Okay?   Does anyone want to predict what the length might be equal to?  We’ll take a prediction. Student C?",teacher,80,4,,,0.0
Centimeter?,student,1,1,,,
You think a centimeter?  Anybody have something different? Okay.  So this is an inch.  Do you think it would be the same?  Do you have another guess?  Half an inch?,teacher,30,1,,,1.0
Two or three centimeters?,student,4,1,,,
Okay.  Two or three centimeters?,teacher,5,1,,,0.0
A half a centimeter?,student,4,1,,,
"A half a centimeter?  So okay, a lot of good predictions.  So we’re gonna figure that out really soon.  Okay?  So we are working with cubic centimeters today.  Okay? First thing we need to do, though, is build a box.  So I asked you, if you have some tape, to have that out.  Want I’m gonna do is have you build a box today but instead of leaving it open you’re actually gonna close it.  Notice that I don’t have a top that folds over. So, when you put your box together with your partner you can in fact tape it.  And if you notice mine, nothing’s flapping open. Right?  So you’re actually making a closed box.   You are going to get a patent so it’ll look familiar?",teacher,128,2,,,0.0
Yeah.,student,1,0,,,
What’s the only thing different about this patent compared to your other patents?  Student K?,teacher,15,0,,,1.0
It doesn’t have the grid.,student,5,0,,,
"It doesn’t have the gridlines.  But that’s okay because we had enough practice with patents now that we don’t need the gridlines for this.  What you’re gonna do is cut it out, form it into a box and close it up.  Easy enough?",teacher,43,2,1.0,,0.0
Yes.,student,1,0,,,
"All right.  So you really only need one pair of scissors between you.  If someone has that, take it out.  Otherwise, Student J, I’ll ask you to go around with the scissors.  Do you have a question?",teacher,37,0,,,0.0
"Um, yeah.",student,2,0,,,
What was that?,teacher,3,0,,,0.0
[Inaudible],student,1,0,,,
"You’re [Inaudible].  Okay.  So one box per pair.  One person can cut.  One person can tape.  You can share tape with another group if you need to. Okay.  So, boys and girls, this should be a pretty quick activity. One person cut it.  Then the other person can fold the tape and it will look like this as the end result.",teacher,61,0,,,0.0
Why does it look like [Inaudible]? Got it. [Inaudible] Can I cut? [Inaudible],student,13,0,,0.0,
So you don’t want to [Inaudible]?,teacher,6,0,1.0,,0.0
[Inaudible],multiple students,1,0,,,
