text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"All right.  Thank you.  All right, boys and girls, we’re going to be [doing] a lot of work from yesterday.  And yesterday we started discussing solids.  And what did we say about solids that were different from polygons?  How did we say they were different?  Student?",teacher,46,1,,,0.0
They had different volume.,student,4,1,,,
They had volume not different volume but they have volume. Volume means they have space in?,teacher,16,4,,,0.0
Inside.,student,1,0,,,
Side.  Where a polygon is flat there is no space inside.  A solid has volume.  So it has how many dimensions?  Not eight.,teacher,23,3,,,0.0
Two?,student,1,0,,,
"Two dimensions?  This has two dimensions?  What kind of figure is this?  I think you’re not listening to the question.  I didn’t ask how many faces it had, I didn’t have any sides it had, I asked how many dimension.  We know a polygon has how many dimensions?  Polygon.  Student?",teacher,50,6,,,0.0
Two.,student,1,0,,,
"Two.  Length and width.  How many dimensions does a solid have, Student?",teacher,12,2,,,0.0
Three.,student,1,0,,,
"Three.  Length, width and?",teacher,4,1,,,0.0
Height.,student,1,0,,,
Height.  So we call this what kind of a figure?,teacher,10,0,,,1.0
Three dimension.,student,2,1,,,
Three dimensional figure or 3D.  Remember yesterday we compared it to a movie?  And we said a 2D movie is usually what we go and see.  It’s a flat screen.  What happens when we see a three dimensional movie?  3D movie?,teacher,41,2,,,0.0
It pops out at you.,student,5,0,,,
"It pops out at you.  It’s like a solid pops out at you.  So yesterday, boys and girls, we talked about the words that we use when we describe the solids to each other.  We came up with lots of different words, we came up with lots of different words to describe what the shape of it was.  Some of you said it had squares, some said triangular.  Then we talked about three important words.  Math vocabulary words. What were the three mathematical terms that I said we wanted to use?",teacher,91,1,1.0,,0.0
[Inaudible],student,1,0,,,
Loud.,teacher,1,0,,,0.0
"Vertices, faces and edges.",student,4,0,,,
"Vertices, faces and edges.  So when I talk about a vertices what part of the solid am I talking about?  Student?",teacher,21,0,,,0.0
[Inaudible].,student,1,0,,,
These?,teacher,1,0,,,0.0
Yeah.,student,1,0,,,
These aren’t the vertices.  Student?,teacher,5,0,,,0.0
My nose is bleeding.,student,4,0,,,
Get a tissue.,teacher,3,0,,,0.0
Corner or a point.,student,4,0,,,
"Corner or a point.  So the vertices, Student, are the corners. Right?  What if I talked about faces, if I talked about the faces what am I talking about?  Student.",teacher,30,0,,,0.0
[Inaudible],student,1,0,,,
The flat surface.  Right?  And what if I’m talking about the edges?  What am I talking about?,teacher,17,0,,,0.0
[Inaudible],student,1,0,,,
"The lines that are made by vertices right?  Look up here Student.  Two edges meet they form a [vertice].  So the edges are made by corners.  So it’s like this.  This is the edge. So today, boys and girls, you are going to be working in the same groups as yesterday so when I ask you to move I’m gonna have you move, put the chairs in the same positions as yesterday, and you’re each gonna get a bag with the solids and you are going to choose different solids and tell me how many vertices it has, how many faces it has and how many edges it has.  We’re going to look for the number of vertices, faces and edges.  Those three things. So if I’m talking about a cube and I wanted to know how many faces it had what would I be looking at?  Student?",teacher,148,2,,,0.0
[Inaudible],student,1,0,,,
