text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"We are looking at Page 60 that we worked on, on Tuesday.  And the first problem – Student [Inaudible], can you read us the first problem, please?",teacher,27,0,,,0.0
Okay.,student,1,0,,,
[Student J?],teacher,2,0,,,0.0
Sandra and Tyler made two loaves of bread.  On Monday they ate one half of a loaf.  On Tuesday they ate one third of a loaf.  How much bread was left?,student,31,0,,0.0,
"Thank you.  So, I drew the two loaves of bread.  What I realized on Tuesday was we’ve done a lot of talking about fractions.  We’ve done a lot of talking about [Inaudible] fractions.  We’ve done a lot of talking about fraction [graphs], but for some reason we are not able to take all of that and put it together and then add the fractions together.  So I wanted to talk about that before we got into our small groups. So, [Inaudible], please.  So I drew the two loaves of bread.  We’re assuming the two loaves of bread are the same size.  On Monday, they ate how much bread?  Student L?",teacher,110,6,1.0,,0.0
"On Monday, they ate one half.",student,6,0,,,
"They ate one half of one loaf.  And Student R, how much did they eat on Tuesday?",teacher,17,0,1.0,,0.0
One third of one loaf.,student,5,0,,,
One third of one loaf.  What are we trying to find out?,teacher,12,0,1.0,,1.0
[Inaudible],multiple students,1,0,,,
"How much is left.  But before we find out how much is left, what do we need to find out?  Student M?",teacher,22,0,,,0.0
How much they ate.,student,4,0,,,
"How much they ate.  So, on Monday they ate one half.  And on Tuesday they ate one third.  In order to find out how much they ate on those two days, what are we going to do to those two fractions?",teacher,41,1,,,0.0
Add.,student,1,1,,,
"Add them.  One half plus one third.   But, what do we know about adding fractions?  Can we add fractions when their denominators are different?",teacher,24,5,,,0.0
No.,multiple students,1,0,,,
Student K?,teacher,2,0,,,0.0
No.,student,1,0,,,
No.  What do we need to do?,teacher,7,0,,,0.0
[Inaudible] denominators the same.,student,4,1,,,
We need to figure out a way to make the denominators the same. So we’re gonna find what kind of fractions?  It starts with an “e”.,teacher,26,2,,,0.0
Equivalent.,student,1,1,,,
"Raise your hand.  Equivalent fractions.  When we’re finding equivalent fractions, you want to think about these two wholes.  Is there a denominator – hold on a second until I finish my [Inaudible].  Is there a denominator that they could have in common? And we can do that a couple of different ways.  We can use the clock. We can say can we make half [Inaudible] clock?",teacher,66,5,,,0.0
