text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Okay.  Data is information.  When I took lunch count today, what information data did I collect?",teacher,16,2,,,0.0
What you want for lunch.,student,5,0,,,
"What you want for lunch.  I had to keep track, correct? And take account.  So we use information in our everyday lives, all the time.  Can anyone give us an example of data we might collect if we were doing a – what’s that word? What’s that word?",teacher,48,1,1.0,,1.0
Survey.,student,1,1,,,
"Survey.  If I’m going to collect data and take a survey, what does that mean?",teacher,15,3,,,1.0
You collect information about what people like.,student,7,0,,,
"You collect information.  You can collect information about what people like.  What else can I collect information or data about, Student R?",teacher,22,1,1.0,,1.0
What people are wearing.,student,4,0,,,
"What people are wearing.  What else can I collect information about, Student D?",teacher,13,0,,,1.0
Attendance.,student,1,0,,,
"Attendance, how many people are here?  Student R?",teacher,8,0,,,0.0
Their favorite color.,student,3,0,,,
Their favorite color.,teacher,3,0,,,0.0
Their favorite food.,student,3,0,,,
Their favorite food.,teacher,3,0,,,0.0
Favorite animals.,student,2,0,,,
Favorite animals.  Student M?,teacher,4,0,,,0.0
[Inaudible],student,1,0,,,
"Take a look at this word and sound it out and tell me if you know what this word is.  It’s a very fancy word, but it has a very simple meaning.  Student D?",teacher,34,0,,,0.0
Statistics.,student,1,1,,,
Statistics.  What are statistics?,teacher,4,2,,,1.0
[Inaudible],student,1,0,,,
"It has to do with math, yes, statistics has to do with math. What else does statistics have to do with? Think about what we’re talking about today.  Student D?",teacher,30,2,,,1.0
Information.,student,1,0,,,
Information.,teacher,1,0,,,0.0
Data.,student,1,1,,,
"Data.  Yes, information, statistics.  And what do we do with this information? What’s the word I’m looking for?",teacher,18,2,,,0.0
Combining. Collect.,student,2,0,,,
"Collect.   Combine could be collect.   Statistics, boys and girls, is just the study of data.  So once we collect the data, we have to do what with it?",teacher,28,3,,,0.0
Study it.,multiple students,2,0,,,
"Study it, see what we can learn from it.  So you are going to be – ready for this word – statisticians today.  If statistics is the study of data, what is a statistician? It’s a noun.  What’s a statistician, Student J?",teacher,42,5,,,0.0
The person who studies data.,student,5,1,,,
"The person – excellent – who studies that data or statistics, okay? Today, boys and girls, we’re going to be taking some data on boxes of raisins.  We use boxes of raisins to collect from data, because besides counting the raisins, what else are we going to get to do with the raisins?",teacher,53,4,1.0,,0.0
Eat them.,multiple students,2,0,,,
"We’re going to get to eat them.  We’re going to estimate.  Oh, this is the word I heard.  Listen to this word I heard.  I heard this word, and I think you might have saw it on your puzzle.",teacher,39,1,,,0.0
Estimate.,student,1,1,,,
"Yes.  Lots of times to collect data, you do some estimating first before you collect your actual data.  So what I’m going to ask you to do first when I pass out the…  Student M, could you give everyone a paper towel? I don’t want you to put the raisins right on your desk.  You guys have to return to your seats, okay?",teacher,63,3,,,0.0
[Inaudible],student,1,0,,,
"Not right now, but we will.  Return to your seats.  I already cut them all up, you don’t have to do that.  I know, is it weird for Mrs. D to be so prepared and know where everything is.  Hold on one second, let everyone sit down. I’m going to let everyone sit down.  Do not open your box of raisins, because before we actually count the raisins we’re going to do what?",teacher,73,0,,,0.0
Estimate.,multiple students,1,1,,,
"We’re going to estimate how many raisins are in the box, and then we’re going to collect –",teacher,18,1,,,0.0
Data.,multiple students,1,1,,,
"Data.  You can say data either way, data, data.  We’re going to collect the data about your estimates and record it.",teacher,21,6,,,0.0
Is it possible for one raisin box to have more than the other?,student,13,0,,0.0,
"Did you hear Student R? Student R is really thinking like a statistician.  His question was, is it possible for the raisins to have different amounts in them? What do you think? I’m going to ask your opinion.  Hang on.",teacher,40,1,1.0,,0.0
It’s possible.,student,2,0,,,
"Student D is thinking yes.  Student J? You think yes as well? We can thank Mrs. D, she ran out and got us all the raisins.  She ran out and got us all the raisins.  Thanks. Now remember, you’re not opening.  I see people doing – excellent, what are you doing?",teacher,51,0,,,0.0
Checking.,student,1,0,,,
"He’s checking, right, Student A, looking at different ways that you can make your estimate.  You know what I would do too? Look at the box and see if it tells you any information of how they made measurements.",teacher,39,2,,,0.0
[Inaudible],multiple students,1,0,,,
"Hold on, I can’t hear.",teacher,5,0,,,0.0
[Inaudible] And then I estimated and I got it right.,student,10,1,,0.0,
"Take your hand away from your mouth, honey, I can’t hear you. Hold on one second, Student J.  Let me say it again.  When someone’s talking and you talk to the person next to you, we can’t hear that person talking.  So now I have to ask Student J to repeat himself.  So please, if someone’s talking, make sure you’re giving that person your complete attention.  Could you put that stuff away please.  So you made an estimate on something, Student J?",teacher,82,1,1.0,,1.0
"[Inaudible] and I put golf balls, they were the same size [inaudible] and I got the closest answer to it.",student,20,0,,0.0,
