text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
We're going to start off by taking some notes.,teacher,9,0,,,0.0
"Ms. H, I can't find my notebook.",student,7,0,,,
"Well then could you find a piece of paper that you can take notes on, and when you do find your notebook we'll be able to staple it in there.",teacher,30,0,1.0,,0.0
Never mind.  I found it.,student,5,0,,,
Great.  Today is January 6th.,teacher,5,0,0.0,,0.0
"I can't find that paper, Ms. H.",student,7,0,,,
"You need no paper sweetheart.  We're just taking notes.  The project from yesterday is done.  We're still on the same topic, but the project is done.  It's a new day.  What have we been talking about in math the last couple of classes? And you've all been talking about it with Ms. T.  Student S?",teacher,55,0,1.0,,0.0
Volume.,student,1,1,,,
"Volume.  We're going to continue talking about volume, so the title today is going to be volume, which is what?  Length—",teacher,21,4,,,0.0
"Times width, times height.",multiple students,4,0,,,
"Can I go to the bathroom, Ms. H?",student,8,0,,0.0,
"Yes.  So volume is telling me what?  What is volume?  When I'm finding the answer for volume, what is the answer telling me?",teacher,23,3,0.0,,0.0
How much is in all.,student,5,0,,,
"How much is in all?  What's another way?  If I'm thinking about boxes, right, start thinking about how many boxes I have all together or—",teacher,25,0,1.0,,0.0
Square units.,student,2,2,,,
"Okay, so I've been hearing square units, but is it square units we're thinking about?",teacher,15,4,,,0.0
Cubit units.,multiple students,2,1,,,
Cubic units.  What else?  What is the volume of something telling me?  How much it can – what?,teacher,18,3,,,1.0
Hold.,multiple students,1,0,,,
"How much it can hold.  So volume tells how many cubic units a box can hold.  So for example, if we had a box that was – let's see.  I'm going to draw a box, and you can do your best to draw it in to your notebook, okay?  I remember yesterday we talked about a trick how to do it.  Do you remember the trick how to draw the boxes?",teacher,71,3,,,0.0
Yes.,multiple students,1,0,,,
Should I show you again?,teacher,5,0,,,1.0
Yes.,multiple students,1,0,,,
"So what I do is I make a square, or a rectangle, then I make another square that's kind of going in to that first square, then I just connect all my bottoms, and my top corners, and then I have a box.  That's one way of drawing it.  So I have my box here, and I am going to give it a length.  So the length is going to be 6.  The width is going to be 3, and the height is going to be 2, and the unit here is just – we're going to use unit centimeters, okay?  These are centimeters.",teacher,104,10,,,0.0
6 times 3 times 2?,student,5,0,,,
"If I'm finding volume, you're right.  I would multiply 6 times 3 times 2.  Student L, if I was just thinking about the bottom layer—",teacher,25,2,1.0,,0.0
It's equal sign.,student,3,0,,,
Remember our project from yesterday?,teacher,5,0,,,0.0
Yes.,multiple students,1,0,,,
Just think about my bottom layer.  Which of these numbers is telling me the bottom layer of this cube?,teacher,19,1,,,0.0
6.,student,1,0,,,
The 6 and the—,teacher,4,0,,,0.0
3.,multiple students,1,0,,,
3.   So the length and the width is telling me how many are in the bottom layer.,teacher,17,1,,,0.0
[Inaudible].,student,1,0,,,
Ms. T taught you that too?  It's great we're all working on the same math concept.,teacher,16,0,,,0.0
18.,student,1,0,,,
So you got 18 for that.  So the bottom layer is made out of 18 cubes.  How many layers do I have?,teacher,22,1,,,0.0
2.,student,1,0,,,
"I have 2 layers.  That means I have 2 times 18 which is giving me – 18 times 18, so—",teacher,20,0,,,0.0
36.,student,1,0,,,
"If you just know it, you can write 36.  If you didn't just know it, you could add two 18s, right?  8 plus 8 is 6, carry the 1, 1 plus 1 is 2 plus 1 is 3.  So am I done if I just write 36?",teacher,47,1,,,0.0
No.,multiple students,1,0,,,
"I need to do 36 cubic – then I need to go look at my label, right?  In this case, CS stands for—",teacher,23,0,,,0.0
Centimeters.,student,1,1,,,
"Centimeters, but instead if I had inches there, then I would write inches, right?  If I had feet I would write feet.  If I had yards, I would write yards, but the one thing that stays the same is this right here, cubic.  Then I'm not sure if Ms. T talked to you about this or not, but another way you can write it, cubic centimeters, is by going like that.  Because the 3 stands for how many dimensions?  1, 2, 3 dimensions.  To see this, you would read it as 36 cubic centimeters.  Same way you would read it if you had written a word, but this 3 stands for cubic, okay?",teacher,113,7,,,0.0
Yes.,multiple students,1,0,,,
"So it's a choice that you have.  Now if I find the volume to be 36 cubic centimeters, how many cubes could I fit in there?",teacher,26,3,,,0.0
[Inaudible].,student,1,0,,,
Could you say it again?,teacher,5,0,,,0.0
"To find out you can do the length, times width, times height.",student,12,1,,0.0,
"Yeah, and I just did that, and I found out what?",teacher,11,0,1.0,,0.0
36.,multiple students,1,0,,,
"36, so the volume is 36.  How many cubes are going to fit in there?",teacher,15,2,,,0.0
36.,student,1,0,,,
