text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Boys and girls, I wanted to start with this equation.  I’m hoping you can all solve this right now.",teacher,19,1,,,0.0
I know what it is.,student,5,0,,,
"Okay, but that’s not my question yet.  My question is, if you can solve this equation, how is this related to this equation?  Okay, I’d like to hear from all of you.  How are these two equations related?  Student Z?",teacher,40,3,0.0,,1.0
16 times 3 is the same thing as 16 times 6 but you just double it.,student,16,0,,0.0,
Student S?,teacher,2,0,0.0,,0.0
"I was going to say the same thing.  It’s the same but if you double it, put three more on.",student,20,0,,0.0,
Three more what?,teacher,3,0,1.0,,0.0
Three more numbers.,student,3,0,,,
"Do you all understand what Student S is trying to say, three more numbers?  What does she mean?",teacher,18,0,,,1.0
"She means three more threes, and then you just get your answer. But the easier way to do it is just double the answer you got [inaudible].",student,27,0,,1.0,
"Do you agree with that, Student Z?",teacher,7,0,0.0,,0.0
Yes.,student,1,0,,,
Can you say it?,teacher,4,0,,,0.0
I agree.,student,2,0,,,
Say what you wanted to.  What do you agree to?,teacher,10,0,,,1.0
I was going to say the same thing.,student,8,0,,0.0,
The exact same words?  Okay.  Student J?,teacher,7,0,1.0,,0.0
"Well, [inaudible]. One number is doubled.",student,6,0,,,
Which number is doubled?,teacher,4,0,1.0,,0.0
Number three.,student,2,0,,,
This is doubled?,teacher,3,0,,,0.0
Yes.,student,1,0,,,
Do you remember what do we call this number right here in a multiplication?,teacher,14,1,,,0.0
Factor.,student,1,0,,,
"The factor, so the factor three was doubled?",teacher,8,0,,,0.0
Yes.,student,1,0,,,
"Okay.  So how much is 16 times 3?  Student J, you said you know?",teacher,14,0,,,1.0
"Yes, it’s 48.",student,3,0,,,
"48.  So now what do we do, Student S?",teacher,9,0,,,0.0
Double 48.   96.,student,3,0,,,
"Okay, let’s just go back to this.  So we doubled one of the factors.",teacher,14,1,,,0.0
And you double the answer.,student,5,0,,,
And you double the answer.  Do you remember what the answer is called?  Student J?,teacher,15,0,1.0,,0.0
The multiple?,student,2,1,,,
Student S?,teacher,2,0,,,0.0
The product.,student,2,1,,,
The product.  So we doubled the factor and then we doubled the product.  Does that always work?,teacher,17,2,,,0.0
No.,student,1,0,,,
Or just with this equation.,teacher,5,1,,,0.0
It always works.,student,3,0,,,
"It always works?  And some people aren’t sure?  Not sure? Okay.  Let’s try another one.  How about 15 times 8.  Can you solve this one?  Student R, can you solve this one?  15 times 8?  Student R, you might want to sit over there if you can’t see well, all right?  Student J?",teacher,53,0,,,0.0
120?,student,1,0,,,
"120?  Student J, did you agree?  Student J?",teacher,8,0,,,1.0
Yes.,student,1,0,,,
Does anybody disagree?  So what did we say before?  Student S?,teacher,11,0,,,1.0
[Inaudible],student,1,0,,,
What was the rule we said before?  Student G?,teacher,9,0,,,0.0
You can double it by doing 15 times 4.,student,9,0,,0.0,
"Okay, I can double it by doing 15 times 4?  Does everybody agree with that?  So this is doubling it?",teacher,20,0,1.0,,0.0
No.,multiple students,1,0,,,
"Student G, you’re going someplace I wasn’t headed for.  What did you do right here, did you double it?",teacher,19,0,,,0.0
Subtracted it.,student,2,1,,,
"Subtracted it.  Who can help Student G?  What did Student G do? Which is something I wanted to do today, Student G. Student S, what did he do?",teacher,28,1,,,1.0
He just cut it in half.,student,6,0,,,
"He halved it.  Student G, which factor did you half?",teacher,10,0,1.0,,1.0
I halved the 8.,student,4,0,,,
So here’s the factor.  So what’s the product here?  Do you know Student M?,teacher,14,1,,,1.0
[Inaudible],student,1,0,,,
"Student B, do you know?  Student C?  Student D?",teacher,9,0,,,0.0
[Inaudible],student,1,0,,,
Student M?,teacher,2,0,,,0.0
60?,student,1,0,,,
"60, do you agree?",teacher,4,0,,,1.0
I agree.,student,2,0,,,
"Agree, 60, okay.  So this time we halved it.  But we were talking about doubling it, can we try that also?  Let’s try and double it.  So we started with this.  First of all, out of these factors, which would be the best one to try doubling.  Student Z?",teacher,49,1,,,0.0
15?,student,1,0,,,
How come?,teacher,2,0,,,0.0
Because 15 is an easier number.  Because 15 plus 15 is 30.  And sometimes 8 plus 8 [inaudible].,student,18,0,,1.0,
"Okay.  Boys and girls, do you agree with that?  Would you rather be multiplying by 30 or by 16?",teacher,19,1,1.0,,1.0
30.,student,1,0,,,
30.  And what do we call those numbers?,teacher,8,0,,,0.0
Landmarks.,student,1,0,,,
"30 is more of a landmark, right?  So we’re going to double the 15.  So we doubled this factor, and what we’re testing is what happens to the product.  What do you think, Student C?",teacher,35,1,,,1.0
[Inaudible],student,1,0,,,
I didn't hear you.,teacher,4,0,,,0.0
220.,student,1,0,,,
220?  Agree?,teacher,2,0,,,0.0
He’s close.,student,2,0,,,
"He’s close?  What were you doing, Student C?",teacher,8,0,,,0.0
I doubled [inaudible].,student,3,0,,,
"You were doubling this?  Student V says you’re real close. What is it, Student V?",teacher,15,0,,,0.0
240.,student,1,0,,,
240?,teacher,1,0,,,0.0
Agreed.,student,1,0,,,
"Okay, so we doubled the factor, and what happened to the product?  Student C?",teacher,14,1,,,1.0
It doubled.,student,2,0,,,
"It got doubled.  So does this always work?  Or if we halve a factor, what happens to the product?",teacher,19,1,,,0.0
It doubles it.,student,3,0,,,
"If we halve a factor as we did here, what happens to the product where we halve this factor?  What happens to the product?  Student S, what are you saying?",teacher,30,2,,,1.0
[Inaudible],student,1,0,,,
"I couldn't quite hear you.  Student B, what did you want to say?  If we halve a factor, what happens to the product?",teacher,23,1,,,1.0
We have to multiply by doubling?,student,6,1,,,
"Well, we were halving here.  This one stayed the same, 15 times 8.  And here we kept the 15, this factor, but we said 15 times 4.  So it’s halved.  So do you see?  This one got in half, it went from 8 to 4.  Do you see that Student B?  So what happened to the product?",teacher,57,1,0.0,,1.0
[Inaudible],student,1,0,,,
So what was the product on the first one?,teacher,9,1,,,0.0
15 times 8.,student,3,0,,,
And what was the product?,teacher,5,1,,,0.0
120.,student,1,0,,,
"120.  And then we made this factor in half, so what is the equation now?",teacher,15,1,,,0.0
15 times 4.,student,3,0,,,
And what was the product?,teacher,5,1,,,0.0
60.,student,1,0,,,
So what happened from here to here?,teacher,7,0,,,1.0
It changed.,student,2,0,,,
"It changed?  Do you know how much it changed by?  Student G, do you know how much it changed by?",teacher,20,0,,,0.0
Six?  Sixty.  6 plus 6 equals 12.,student,7,0,,,
6 plus 6 equals 12.,teacher,5,0,1.0,,0.0
[Inaudible] of 20.,student,3,0,,,
Okay.  Student J?,teacher,3,0,,,0.0
The two products half like the factor.,student,7,1,,,
Okay.  So we half the factor and we…,teacher,8,0,1.0,,0.0
Half the products.,student,3,1,,,
"Okay what I want to know is, does it always work, the doubling and halving?  Does it always work?  Student J?",teacher,21,0,,,0.0
Yes.,student,1,0,,,
"Did you say yes?  Are you sure of that?  Okay, good.  Student S?",teacher,13,0,,,0.0
[Inaudible],student,1,0,,,
"Okay, I have another one, I’ll get it for you before we start working. I just wanted to try one more thing.  We have this 15 times 8 equals 120.  What if I did 30 times 4?",teacher,37,0,,,0.0
We did 30 times 8 equals 240.,student,7,0,,,
You’re right.   We did this.,teacher,5,0,1.0,,0.0
So you bring [inaudible].,student,4,0,,,
Student T?,teacher,2,0,,,0.0
[Inaudible],student,1,0,,,
So what did I do to this factor?,teacher,8,0,,,1.0
Cut it in half.,student,4,0,,,
Half.  And what did I do to this factor?,teacher,9,0,,,0.0
Doubled it.,student,2,0,,,
"So what happens if you double and halve together?  So my question is, what happens to the product if I double AND halve?  Student B?",teacher,25,1,,,1.0
It splits.,student,2,0,,,
It splits.  So the product’s split?,teacher,6,1,,,1.0
The product on that one is split into half.,student,9,1,,0.0,
We were just talking about these ones now.  So what happened to the product?,teacher,14,1,1.0,,1.0
They’re the same.,student,3,0,,,
It’s the same.  Student J?,teacher,5,0,,,0.0
"What happens, [inaudible] it’s 240, [inaudible] which is 120.",student,9,0,,0.0,
Okay.  So what happened to the product?,teacher,7,1,0.0,,1.0
What happened to the product is that you just [inaudible] half of 30…,student,13,1,,0.0,
"I’m just talking about these ones right here, right?  But I want to come back to you, okay?  Listen over here and then say what you think.  Student S?",teacher,29,0,0.0,,1.0
"They’d stay the same because if you double it and then halve it then it’s almost like you have the same number kind of, so it’s just going to be the same product.",student,33,1,,1.0,
Okay.  Student J?,teacher,3,0,0.0,,0.0
"[Inaudible] but the only thing you’re doing is using the method of the double halving, you [inaudible] and you would just get the same product.",student,25,1,,0.0,
"Okay, did you hear that, Student J?",teacher,7,0,0.0,,0.0
Yes.,student,1,0,,,
Can you say it now?,teacher,5,0,,,0.0
"What’s happening is that 15 times 2, which is 30.",student,10,0,,0.0,
When I double this…,teacher,4,0,0.0,,0.0
"Then you take 15 from 30, and then you add 4 times 8.",student,13,1,,0.0,
"Well, I halved this.  So I started with this.  This is what I started with.  But then I took my two factors, and what did I do to the first factor?",teacher,31,1,1.0,,0.0
You just added it twice.,student,5,0,,,
I doubled it.  And what did I do to my second factor?,teacher,12,0,1.0,,0.0
You halved it.,student,3,0,,,
"Halved it.  And then what happened to the product?  Can you answer that part?  What happened to the product?  Okay, I’ll come back.  Student B?",teacher,25,2,,,1.0
It changed.,student,2,0,,,
The product changed.  What did it change from?,teacher,8,1,,,1.0
15 times 8 and 30 times 4.,student,7,0,,,
"Well, the equation changed.  Did the product change?",teacher,8,2,0.0,,0.0
Mm-hmm.,student,1,0,,,
So what happened to the product?,teacher,6,1,,,1.0
They stayed the same.,student,4,0,,,
"The product stayed the same.  Student C, what did you want to say?  What did she say?",teacher,17,1,,,1.0
That the product stayed the same.,student,6,1,,,
"Okay.  We’re going to do some work on these today, and then we can come back and talk about it at the end.  What I just wanted to look at for a minute though – let’s start with this one, 15 x 8 = 120.  What if I made an array for that? Okay, here’s my array.  What’s this side going to be?",teacher,63,2,0.0,,0.0
"15.  No, 8.",student,3,0,,,
"8, because it’s a smaller side, that’s the smaller factor.  And this one will be 15.   So how could I show 15 x 4?  Student T, do you know?  Student K?  How could I show 15 x 4?  We started with 15 x 8.  Student G, do you know?",teacher,49,0,,,1.0
15 x 8.,student,3,0,,,
"But I want to show this one now, 15 x 4.",teacher,11,0,,,0.0
You draw another array.,student,4,1,,,
Can I show it on this array?,teacher,7,1,,,0.0
You change the 8 on this side and make it a 4.,student,12,0,,0.0,
