text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
Okay.   How many people are wearing gray out of these four people?  How many people are wearing gray?  Student G?,teacher,20,0,,,0.0
One.,student,1,0,,,
Only one.  So what fraction of this group is wearing gray? What fraction of this group is wearing gray?  Student J?,teacher,21,2,,,0.0
One fourth.,student,2,0,,,
One fourth.  One out of –,teacher,6,0,,,0.0
Four.,student,1,0,,,
Okay.  So this is much different than what we did with the rectangles ‘cause we were just kind of cutting rectangles into four equal pieces and shading in one.  Whereas this is looking at a group of things.  So we could – these are – what are these?  We call these things up here?  What?,teacher,55,2,,,0.0
People.,student,1,0,,,
"People.  Students.  Kids.  Okay?  So, we can look at – thank you, guys.  Have a seat.   So, we can look at lots of different things and break them into fractional groups.  So that’s what we’re gonna be doing today.  Fractions of a group. So, I have one problem on the board for us to do together.  I have another one to do together and then you actually have two pages in your math book that you’re gonna work on independently and we’re gonna do a lot of this today just to get really good practice.  Yesterday, member when you cut out – do you remember when you cut out the four-by-six rectangles?",teacher,112,3,,,0.0
Yes.,multiple students,1,0,,,
"You cut out four of them and you put them into your notebook and you wrote one, two, three, four, five six?",teacher,22,0,,,0.0
Yes.,multiple students,1,0,,,
That’s for us to take notes at the end of the period.  Okay? We’re gonna take notes on what we did.  Does this look like what you did yesterday?,teacher,29,0,,,0.0
Yeah.,student,1,0,,,
"Yeah.  So we’re all gonna take notes together and we’ll put them up here, too.  Okay?  So this is our first problem of the day.  We’re gonna connect what we’ve been doing here and move into talking about groups of things.  So, can we read this together?  Together.  Thank you for volunteering but we’re gonna read it together, okay?",teacher,59,0,,,0.0
I have 24 oranges.  One fourth of the oranges are for Mr. D.  How many oranges will he get?,multiple students,19,0,,0.0,
"Now, does the problem tell me how many oranges Mr. D will get?",teacher,13,0,1.0,,0.0
No.,multiple students,1,0,,,
"No.  But what does it tell me?  What does it tell me, Student N?",teacher,14,0,,,1.0
That you have 24 oranges and you’re gonna give one fourth to Mr. D.,student,14,0,,0.0,
"Okay.  So it does tell me how many I start with and it does tell me what fraction of 24 I’m going to give to him.  So, right now, every single three, three, three – I don’t know what you are doing but it needs to end.  Three, three, two and two, okay?  You each have a bowl.  How many tiles do you think there are in this bowl?  Student E?",teacher,71,1,1.0,,1.0
24.,student,1,0,,,
"24.  So pretend that these are oranges.  If you have green tiles, then those are really rotten oranges.   But pretend for now that these little tiles are your oranges.  You have 24.  Can you show me in your small groups how much Dr. Donovan will get?  Show me the one fourth that Mr. D will get.  Go ahead and do that now.  When your group is ready, just go like this.  So that I know we can talk about it.",teacher,80,0,,,0.0
[Inaudible] so we [Inaudible].,student,4,0,,,
Okay.,teacher,1,0,,,0.0
So we see like one fourth [Inaudible] to the bottom.,student,10,0,,0.0,
Yep.,teacher,1,0,0.0,,0.0
[Inaudible] like one fourth of 24.,student,6,0,,,
Okay.,teacher,1,0,0.0,,0.0
So you see that four right there?,student,7,0,,,
Yep.,teacher,1,0,1.0,,0.0
Four times six is 24 and so then [Inaudible] six pieces.,student,11,0,,0.0,
So you already know that?,teacher,5,0,0.0,,0.0
Yeah.,student,1,0,,,
"So can you show it to me with the tiles?  That’s actually what we’re gonna move towards, Michael.  Got it?  So you’re working as a team.  So, how are you gonna show it as one team?   That’s why it put it here so you can all reach her desk.",teacher,49,0,,,1.0
"This one over here, this one over here.",student,8,0,,0.0,
So what’s the first thing you’re gonna do to show this?,teacher,11,0,0.0,,0.0
We’re gonna make a square that has 24.,student,8,1,,0.0,
Okay.,teacher,1,0,0.0,,0.0
Then we’re gonna like try to make a shape and separate one of them so the third or the fourth [Inaudible].,student,21,0,,0.0,
Okay.  So you have 24 tiles and you’re going to make it into a rectangle?  Okay.  Kind of like the rectangles we’ve been using?,teacher,24,2,1.0,,0.0
Yes.,student,1,0,,,
So what will the dimensions of the rectangle be?,teacher,9,2,,,0.0
They’ll be six by four.,student,5,0,,,
"Six by four?  Okay.  So, you’re gonna make a six by four.  And then what are you gonna do with the six by four?",teacher,24,0,1.0,,0.0
We’re gonna –,student,3,0,,,
Can somebody other than Student K tell me?  What are you gonna do once you make a six by four?,teacher,20,0,,,0.0
I think we’re gonna split it.,student,6,0,,,
Split it up into how many pieces?,teacher,7,0,1.0,,0.0
One fourth.,student,2,0,,,
How many equal pieces?,teacher,4,0,,,0.0
I know.,student,2,0,,,
Okay.,teacher,1,0,,,0.0
24.,student,1,0,,,
There’s 24 tiles in here so you’re gonna split it up back into 24 equal tiles?,teacher,16,0,,,0.0
No.,student,1,0,,,
You want to take a guess?  How much is Mr. D supposed to get?,teacher,14,0,,,0.0
One fourth.,student,2,0,,,
One fourth.  So how many groups do I need to make out of this 24?  How many equal groups do I need to split it into?   So it is in one equal group.  It is in one equal group right now.  This is one group of 24.  But he’s supposed to get one fourth of that?  So how many groups do I need to make from that?,teacher,67,3,,,0.0
Four?,student,1,0,,,
Four equal groups because we’re breaking it into four.  That’s very good.  I didn’t say groups of four.  I said four equal groups.  Not right now.  We’re not doing that right now. You’re supposed to be working with them and right now what I see is not earning you a class work point.,teacher,53,2,,,0.0
But I was trying to keep –,student,7,0,,,
So what I see is I see groups of four.  Mr. D is supposed to get one out of four groups.,teacher,21,0,0.0,,0.0
[Inaudible],multiple students,1,0,,,
So he gets one?  But did you make four equal groups?,teacher,11,1,,,0.0
"No, we made six.",student,4,0,,,
"You made six.  Ah, good point.  You made six equal groups.  So this is one – stop for a second.  This is one what?",teacher,24,1,,,0.0
One fourth.,student,2,0,,,
You just told me you made six equal groups.  So how is this one fourth?,teacher,15,1,,,0.0
One sixth?,student,2,0,,,
"One sixth because it’s one out of six equal groups that you made.  So, how many equal groups do you need to make to work with this problem?",teacher,28,2,,,0.0
Three more.,student,2,0,,,
"You have 24 tiles total.  Okay?  So I was noticing they’re in little squares.  Did you make an array first?  A rectangle? Oh, you didn’t do that.  Okay.  So then how did you know how many to put in each group?",teacher,41,4,,,1.0
She came up with a plan.,student,6,0,,,
"Okay.  And your plan was to put four in each group?  So what does the denominator mean, Student C?  We keep saying this thing, “One out of four what?”",teacher,29,1,0.0,,1.0
Four is the –,student,4,0,,,
Okay.  Let me ask you this ‘cause this is what we’ve been saying all week.  One fourth means what?  What does one fourth mean?,teacher,24,0,,,1.0
Like four squares in a shape.,student,6,1,,,
"No, no, no.  What is that phrase we keep using?  One fourth means –",teacher,14,0,0.0,,0.0
[Inaudible],student,1,0,,,
Maybe someone in another group can help this group.  What does one fourth mean?  We keep using this same phrase over and over and over again.,teacher,26,0,,,1.0
[Inaudible],student,1,0,,,
Raise your hand if you know what one fourth means?  What does one fourth mean?  Student D?,teacher,17,0,,,1.0
One out of four [Inaudible] equal – One out of four equal parts.,student,13,0,,0.0,
One out of four equal –,teacher,6,0,1.0,,0.0
Parts!,student,1,0,,,
"Parts.  One out of four equal parts.  So, you have 24 oranges or 24 tiles, and you need to break it into what?",teacher,23,0,,,0.0
[Inaudible],student,1,0,,,
What do you need to do with the 24 tiles?  Student J?,teacher,12,0,,,0.0
Let’s see.,student,2,0,,,
"You forgot what you were gonna say?  I like how Student C is listening very carefully, too, instead of playing with her tiles.  She wants to know the answer.",teacher,29,0,,,0.0
[Inaudible],multiple students,1,0,,,
"What do you need to break the 24 into, Student G?",teacher,11,0,,,0.0
Halves.,student,1,0,,,
Halves?  So are we finding – does Mr. D get half of the oranges?,teacher,14,0,,,0.0
No.,multiple students,1,0,,,
"How many of the oranges does Mr. D get, Student J?",teacher,11,0,,,0.0
One fourth.,student,2,0,,,
One fourth.  So how many equal groups do we need to break the oranges into?  Student M?,teacher,17,1,,,0.0
One row?,student,2,0,,,
"You’re not listening to my question.  If your label is row, and I’m asking you how many groups.  We have 24 oranges.  Mr. D is supposed to get one – what you just said – one out of four equal groups.  So, how many equal groups do we need to make with the 24 oranges?  Student N?",teacher,57,2,,,0.0
Groups of –,student,3,0,,,
I didn’t ask you what the groups are of.  I asked you how many groups.  Six groups?,teacher,17,0,,,0.0
Four.,student,1,0,,,
Why four?,teacher,2,0,,,1.0
Because –.,student,2,0,,,
"What part of the problem is telling you – the problem, Student J, the problem is telling you make four groups.  What part of the problem is telling you to make four groups?  What do you see in the problem that is telling you to make four groups?",teacher,48,0,,,0.0
[Inaudible],student,1,0,,,
"The problem’s there, not there.  What do you see in the problem that’s telling you to make four groups, Student E?",teacher,21,0,,,0.0
The one fourth.,student,3,0,,,
The one fourth.  What part of the one fourth – and she doesn’t know the word but everybody else in this room does. Student A?,teacher,25,0,,,0.0
Denominator?,student,1,1,,,
"The denominator.  Ooh!  He remembered.  The denominator which is this bottom number is telling me.  It’s shouting at me. Teacher, make four groups first.  So, go ahead with your tiles and do what it’s asking you to do.  Make four groups. Oh, wait.  I forgot something.  What kind of groups do I need to make everybody?",teacher,56,2,,,0.0
Equal.,multiple students,1,0,,,
"Make four equal groups.  So, make four equal groups right now with your group.  Okay.  So, if you take one of these and we make a bunch of those that are equal, are there four groups?",teacher,36,2,,,0.0
No.,student,1,0,,,
How many groups are there?,teacher,5,0,,,0.0
In the bottom we have to –,student,7,0,,,
How many groups are there?,teacher,5,0,0.0,,0.0
"Seven? One, two, three.  Six.",student,5,0,,,
Six groups.  Is that what I asked you to do?,teacher,10,0,1.0,,0.0
No.,student,1,0,,,
"Is that what the problem asked you to do?  So then don’t do that.  You need to make four groups.  Guys, you did this first for a reason.  This is here to help you.",teacher,34,0,,,0.0
[Inaudible],multiple students,1,0,,,
Okay.  Did you make four equal groups?,teacher,7,1,,,1.0
They made eight.,student,3,0,,,
