text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Thank you.  Alright boys and girls, like we were discussing the past couple of weeks, well the past week, we will be reviewing charts.  We will be doing a couple of more activities like I told you before.  So we’re gonna start to present decimals.  We’ve been discussing where we find fractions, where we find decimals, where we find percents in everyday life.  Someone give me an example of where we find fractions.  Student B.",teacher,75,5,,,0.0
In classrooms.,student,2,0,,,
In classrooms we do.  Can you give an example of in the class where you may find fractions?,teacher,18,1,,,1.0
In my math book.,student,4,0,,,
"In your math book.  Can anyone give something else out of school or outside of the classroom?  It can be in the school, but not in the classroom.  Student B.",teacher,30,0,,,1.0
Pizza.,student,1,0,,,
Pizza.  When you have pizza it’s cut into how many pieces?,teacher,11,0,,,0.0
Eight.,student,1,0,,,
"It’s cut into eight equal pieces.  And if Student B ate one of them, how much of the pizza did he eat?",teacher,22,0,,,0.0
One-eighth.,multiple students,1,0,,,
Excellent.  Where else do you find yourself using fractions in the world outside of here? Measuring. Measuring cups in the kitchen.,student,21,4,,0.0,
Measuring cup in the kitchen; yes.,teacher,6,2,1.0,,0.0
In your cookbook. Teacher:   Alright.   Divide.  Excellent.  Cupcakes; divide the cupcakes; divide the cupcakes; 24 of them.  Do you want to give me one other place for them?  Where you’re making cupcakes and you need to use fractions to measure? In your house.,student,43,9,,0.0,
You’re sharing cupcakes.  Anyone else have another spot where they might find fractions?,teacher,13,2,1.0,,1.0
On your homework at home.,student,5,0,,,
Your homework; maybe if you take it.,teacher,7,0,1.0,,0.0
Boring answer.,student,2,0,,,
I’ll take it.  Student [O].,teacher,5,0,,,0.0
The size of your shoes.,student,5,0,,,
Your shoe size.  You’re a six and a half.  Anyone else? Student D.,teacher,13,0,1.0,,1.0
[Inaudible],student,1,0,,,
Excuse me?  I can’t hear you.,teacher,6,0,,,0.0
Working.,student,1,0,,,
Working?  What do you mean by that?,teacher,7,0,,,1.0
"Like working people who like, they’re like the [inaudible] and they need the rulers.",student,14,1,,0.0,
"Oh, measurements, when they [inaudible] markers.  I see. Excellent.  [Inaudible]. Alright.  Now, let’s work on decimals.  Where would we find decimals in the outside world?  [Bell rings][Inaudible] out there. Where could we find decimals?  Student J.",teacher,36,4,1.0,,1.0
Like on the radio.,student,4,0,,,
The radio.  Give me a radio station.  A radio station; do you want to give me one?,teacher,17,0,,,0.0
94.5.,student,1,0,,,
"Anyone else have decimals anywhere?  Student [S].  The rain, when they say we’re gonna get –",teacher,16,1,,,1.0
2.5.,student,1,0,,,
Then let’s say in July we got 3.5 inches of rain.  Excellent. Student S.,teacher,14,0,,,0.0
Population.,student,1,0,,,
Population; 6.5 million people.  Where else?  Student J.,teacher,8,0,,,0.0
Money.,student,1,0,,,
Money.  Give me some money.,teacher,5,0,,,0.0
$25.00.,student,1,0,,,
What sweetie?,teacher,2,0,,,0.0
$25.00.,student,1,0,,,
And how many cents?,teacher,4,0,,,0.0
[Inaudible].,student,1,0,,,
