text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Okay.  So you have the paper out that we started yesterday. This is math.  It looks like this.  Can you turn to page 3; it starts with 7A.  Can someone read 7A for me, please? Student K, can you read 7A?",teacher,41,0,,,0.0
Fourth grade planted a school garden.  Fourth graders planted 37 rows of sunflowers.  They planted 8 sunflowers in each row.  How many sunflowers did they plant?,student,26,0,,0.0,
"All right.  What operation are we looking for here?  We’ve talked about addition, subtraction, multiplication, and division.  Student M, can you open up to where it says 7A, please?  Student T, what operation are we talking about here?  What do we need to use to solve 7A?  Okay.  We need to use division.  So the fourth graders planted 37 rows of sunflowers, so what’s the division problem going to be, Student T?",teacher,72,6,1.0,,0.0
37 divided by 8.,student,4,1,,,
"Okay.  So this is, row number 1 are sunflowers, right?  So Student T, you were saying 37 divided by 8.  This is row number 1.  How many sunflowers are in that row?  Student T, go ahead.",teacher,36,1,,,0.0
8.,student,1,0,,,
"Eight sunflowers in that row.  This is row number 2.  How many sunflowers in that row, Student K?",teacher,18,0,,,0.0
8.,student,1,0,,,
"8.  This is row number 3, Student S?",teacher,8,0,,,0.0
8.,student,1,0,,,
"8.  What operation are we doing here, Student R?",teacher,9,0,,,0.0
"You’re doing, um, –",student,4,0,,,
What does the 37 stand for?,teacher,6,0,,,0.0
The sunflowers.,student,2,0,,,
"Look at the problem.  What does the 37 stand for in this problem, Student J?",teacher,15,0,,,0.0
How many rows.,student,3,0,,,
Okay.  The 37 is the amount of rows.  What does the 8 stand for?  Student S?,teacher,16,0,,,0.0
The flowers.,student,2,0,,,
"The 8 stands for the amount of flowers.  Student R, stop.  You have to go sit next to Student J.  Please.  Without complaining, go sit next to Student J.  So the 8 stands for the amount in each row.  What operation is this?  Student M?",teacher,45,0,,,0.0
[Inaudible.],student,1,0,,,
"So I’m dividing these 37 into 8 pieces.  Let’s keep going.  In number 4, how many do I have?  Student J?",teacher,21,0,,,0.0
You have 8.,student,3,0,,,
"I have 8.  In number 5, how many do I have, Student B?  I have 8.  What am I doing here?  It looks to me like I’m counting by 8s.  What operation is that, Student J, if I’m counting by a certain number?",teacher,43,0,,,0.0
Skip counting?,student,2,0,,,
"It’s skip counting, which is exactly the same as what, Student I?  Multiplication.  This is a multiplication problem.  37 rows, 8 in each row.  That’s like if I had 37 friends and I gave 8 of something to each friend.  How could we solve this?  Student D, how could we solve this?",teacher,52,2,,,1.0
You could do 37 times –.,student,6,0,,,
"Okay, so 37. Let’s draw.  Let’s draw an array.  The dimensions of my array are what, Student J?",teacher,18,3,1.0,,0.0
[Inaudible.],student,1,0,,,
Okay.  The dimensions are 37 by 8.  What could I split up?  I don’t know how to skip count by 37.  I know how to skip count by 2s.  I don’t know 37.  I don’t even know what would come next.  Student S?,teacher,43,1,,,0.0
[Inaudible.],student,1,0,,,
Ok. Into 30 and 7.  30 is a what?  We talked about this yesterday.  We talked about splitting it up into certain things.  30 is a what?,teacher,27,0,,,0.0
A multiple of 10.,student,4,1,,,
"Good.  30 is a multiple of 10.  We know how to multiply by multiples of 10.  Student Z, what are the dimensions of this array?",teacher,25,5,,,0.0
8 times 30.,student,3,0,,,
"8 times 30.  And who can tell me what the dimensions of this array are, Student B?  8 times 7.  Take one minute to solve this, please, and then I’ll call on someone to answer.  If you need help, raise your hand.",teacher,42,2,,,0.0
[Inaudible.],student,1,0,,,
"Yep.  Yeah, you can do it, yeah.",teacher,7,0,,,0.0
[Inaudible.],student,1,0,,,
"Let’s go.  Get your math stuff out.  Go move your desk, right back up.  All right.  Back up a little bit.  Okay.  Back up a little bit.  Pull your chair in, Student R. All right.  In about 10 more seconds we are going to be talking about this.  Student B, can I borrow your pencil for a second? All right.  Who can tell me how to solve this?  Turn your body, please.  Student J, 8 times 30?",teacher,77,0,,,0.0
8 times 30 is 220.,student,5,0,,,
8 times 3?,teacher,3,0,0.0,,0.0
8 times 3 –,student,4,0,,,
"8 times 3 is 24.  If we’re multiplying by a multiple of 10, we talked about one of the rules is that we can put a 0 at the end to add another place.  240.  Make sure you’re correct. Put that on your paper, please.  Student J, 8 times 7?",teacher,50,3,,,0.0
56.,student,1,0,,,
"56.  God bless you.  Student Z, 240 plus 56?",teacher,9,0,,,0.0
[Inaudible.],student,1,0,,,
"296.  Who can answer that question in a statement?  What are we even talking about?  296 what, Student M?  Nice and loud.",teacher,22,0,,,0.0
[Inaudible.],student,1,0,,,
"Good.  So there are – actually, look at the final question. What does the final question ask?",teacher,17,0,,,0.0
There are 296 [inaudible].,student,4,0,,,
"Good.  So, they actually already told us how many rows of sunflowers – there were 37 rows – so this is 296 sunflowers.  You should have the final answer, yep.",teacher,30,0,,,0.0
Miss [inaudible]?,student,2,0,,,
Yes.,teacher,1,0,,,0.0
[Inaudible.],student,1,0,,,
"Okay.  All right.  Let’s look at B.  Who can read B for me? Student K, can you read B, please?",teacher,20,0,,,0.0
[Inaudible.],student,1,0,,,
Start that sentence again.,teacher,4,0,,,0.0
[Inaudible.],student,1,0,,,
"No, some tulips.",teacher,3,0,,,0.0
"– and some yellow.  If there were the same number of each color, how many red tulips [inaudible]?",student,18,0,,0.0,
"Okay.  So some important information is that there are three different colors.  There are red, there are blue, and there are yellow.  What’s another piece of important information that I haven’t written up here yet?  Student J, what’s another piece of important information that’s in that problem? Student M, what else is important?",teacher,53,0,1.0,,1.0
[Inaudible.],student,1,0,,,
"Okay.  They ordered 57 different tulips, and there are red, blue, and yellow.  What type of operation are we going to use now, Student T?",teacher,25,0,,,0.0
You’re going to use division.,student,5,1,,,
"We’re going to use division.  Good.  And what’s our division problem going to be, Student A?",teacher,16,2,1.0,,0.0
57 [inaudible].,student,2,0,,,
"Well, we already know the something.  Just because we don’t have a number here, we do have an amount.  Student B, what’s the amount that we’re dividing by?",teacher,28,0,,,0.0
3.,student,1,0,,,
Why 3?  Where did you get 3 from?,teacher,8,0,,,1.0
[Inaudible.],student,1,0,,,
"Very good.  So they’re red, blue, and yellow.  This is 1, this is 2, and this is 3.  Those are the three colors that they’re doing it for, okay?  The three colors that they have bought.  How could we set this up, Student D?",teacher,44,0,,,1.0
[Inaudible.],student,1,0,,,
"Okay.  Putting them in groups.  Like how?  Like this?  Student J, is that what this means?  What could I do first, Student S?",teacher,23,0,,,1.0
You could [inaudible].,student,3,0,,,
"Okay.  Let’s add 10 to each group.  What multiplication problem could help us keep track of that, Student B?",teacher,19,2,,,1.0
10 times 3.,student,3,0,,,
"Okay.  10 times 3, which equals what, Student B?",teacher,9,0,,,0.0
30.,student,1,0,,,
Are we there yet?,teacher,4,0,,,0.0
No.,multiple students,1,0,,,
"Not quite.  What could we do next, Student K?",teacher,9,0,,,0.0
[Inaudible.],student,1,0,,,
"Okay.  Let’s add 5 to each group.  What multiplication problem would help me keep track of this, Student S?",teacher,19,2,,,1.0
[Inaudible.],student,1,0,,,
"5 times 3.  Good.  Equals 15.  Good.  So far I have 30 and 15. What am I at so far, Student D?",teacher,22,0,,,0.0
45.,student,1,0,,,
45.  Am I there yet?,teacher,5,0,,,0.0
No.,multiple students,1,0,,,
No.  I’m not.,teacher,3,0,,,0.0
Miss [inaudible]?,student,2,0,,,
Uh-huh.,teacher,1,0,,,0.0
You could add 4.,student,4,1,,,
