text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Here we go.  Alright boys and girls. Today – on Friday we talked about fractions a little bit, right?  Let’s take a look at the everyday counts board right here to the right. Who can – and I’ve added a couple of things to it.  So tell me something you see on the board, anything we talked about, something new; whatever you want to add.  Student M.",teacher,67,2,,,0.0
Well I see at the bottom that you added the graph and you cut them into four pieces.,student,18,1,,0.0,
Okay.  Do you want to come up and show me which one you’re talking about honey?,teacher,16,0,0.0,,0.0
Four equal pieces.,student,3,0,,,
Four equal pieces.  So what does that mean?,teacher,8,0,,,1.0
It means it’s a fraction.,student,5,1,,,
"Okay, it’s a fraction.  What would you call those fractions?",teacher,10,2,1.0,,1.0
Fourths?,student,1,0,,,
Fourths.  Why?,teacher,2,0,,,1.0
Because there’s actually four equal pieces.,student,6,0,,,
Very good.  Anyone want to add to that? Student C.  Do you want to add to anything she said about the four pieces or do you want to talk about something else?,teacher,32,2,1.0,,1.0
"The four pieces, I know that the decimal is going to be fixed.",student,13,1,,0.0,
How do you say that decimal?,teacher,6,1,1.0,,1.0
Point 25.,student,2,0,,,
"Point 25.  How else can you say that, do you know?",teacher,11,0,,,1.0
No.,student,1,0,,,
Not sure?  We’ll come back to you.,teacher,7,0,,,0.0
Zero point 25.,student,3,0,,,
"We’ll come back to you in one second.  Student S, how else can you say that decimal?",teacher,17,1,,,1.0
"You could say that decimal, 25 percent.",student,7,2,,,
That’s a percent.  How do you say it as a decimal?  Yes.,teacher,12,2,1.0,,1.0
Oh.,student,1,0,,,
"25 hundredths.  Remember boys and girls, the place value chart here, you got the point four zero, right?  See the zero up here?  It’s hundredths.  Look at point two five.  The five is in the hundredths place.  So it’s 25 hundredths.  Thank you.  Back to Student C.  What else did you want to say?",teacher,54,5,,,1.0
And I know that you can put the 25 because –,student,11,0,,1.0,
Because why?  Good.  Why do – why is it 25 hundredths?  What does that mean?,teacher,15,1,1.0,,1.0
Because 25 could go – because four quarters equals 25 –,student,11,1,,1.0,
Out of what honey?,teacher,4,0,0.0,,0.0
Out of 100.,student,3,0,,,
"Out of 100.  Four quarters equals 100, true?",teacher,8,1,,,0.0
Mm hm.,student,2,0,,,
"So, anyone else want to add to that?  Student S, did you want to say anything?  So can you restate it in your own words or say it again?",teacher,29,1,,,1.0
25 times four equals 100.,student,5,0,,,
25 times four equals 100.  Very good.  Student S?,teacher,9,0,1.0,,0.0
"Well just that four pieces, there’s 25 in each piece.",student,10,0,,1.0,
