text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Okay, boys and girls, so tomorrow for math we are actually going to be playing a game using our fraction tracks game board that Student Y is passing out right now.  Our goal today is, we are going to be completing this game board. So we need to take our prior knowledge about percents and equivalent fractions and we’re going to apply them today and complete this game board, so that tomorrow we can play the game successfully.  But it is extremely important that we are accurate on this game board in labeling all of our fractions.  If we’re not accurate, then tomorrow when we go to play the game it will not be very successful.  So everybody should have a copy of this fraction tracts game board sheet. Now I know we’re having some difficulties with our projector screen, so I will put it on the blackboard.  If you can’t see it, it is okay, you have one in front of you. And we will be discussing and doing some of this together, then you’ll be on your own working with your partners to complete the game board.  So if you cannot see the overhead board, that’s fine, just use the one that you have in front of you.  Okay? So now everybody has a game board in front of them.  Take a minute.  Look it over.  What do you notice? Think about it? Give you a minute, then we’ll raise our hands to answer. What do you notice about this game board? Are there any similarities to any other resources that we have created? Just give yourself a minute. Does anybody want to share with me what they notice about this game board? Student G?",teacher,287,5,,,0.0
They all will add up to a whole.,student,8,2,,1.0,
So all the pieces will add up to a whole.  Good.  What other similarities do we notice? Student I?,teacher,19,2,1.0,,1.0
"You know the thing that we did earlier in the unit, it was like this but it was a little longer, and we put in the equivalent fractions of different…",student,30,2,,0.0,
So I think it was page 10 where we did a percent fraction equivalent chart.  This looks a little bit similar to that. Keep that in the back of your mind when you’re filling this out.  What else does it look like? It looks like a bunch of these all on one game board.  Student T?,teacher,56,3,1.0,,1.0
I think the goal is just to get to one whole.,student,11,1,,0.0,
"Right, so you’re going to start at zero and we’re going to get to one whole.  Which means -- what does this look like? So look at the top one.  What does that look like? Student D?",teacher,37,1,1.0,,1.0
Two halves.,student,2,0,,,
"Two halves, but does it kind of look like a number line?",teacher,12,1,,,0.0
This is what I was talking about.,student,7,0,,,
"Oh, the percent strips, that’s another one that we can use, because we’ve made a bunch of resources so far in this unit that could help us be successful on this game board.  But doesn’t it look like this game board is full of number lines? And that’s exactly what these are.  But we’re going to call them today, fraction tracks, because that’s the name of the game that we’re going to be playing tomorrow. Okay? So if you look, we have a fraction track for halves, thirds, fourths, fifths, sixths, eighths, and tenths.  Does everybody see that? So what we’re going to do now is, we are going to go over the first one, the fraction track for halves.  And today you have a couple supplies that you can use. You will be able to use a small ruler and your pencil.  And what I’m going to do now is, I’m going to put this on the overhead and we’re going to talk about the halves, and we’re going to do a couple of them together, and we’re going to see what we notice.  Then we are going to use our strategies and we’re going to work with our partners to fill them out. Okay.  So remember, if you cannot see this board, and I know it’s difficult because we are having some difficulties with our overhead screen. So look at the top fraction track, and it is representing halves.  So you’re starting on the left-hand size, zero halves.  Okay? And I’m going to show you something using this ruler.  If I use this ruler, and everybody follow along with me, and I put it right on that one-half mark that’s already marked for me. Does everybody see that? Go ahead and do it on your own game board. So one-half is already identified for us on the game board. Are there any other fraction tracks that have one-half already marked?",teacher,322,12,0.0,,0.0
No.,multiple students,1,0,,,
No? Look on the game board.  Raise your hand.  What fraction track has another stop halfway through? Student K?,teacher,19,1,,,0.0
"Umm, I don’t get that.",student,5,0,,,
"Okay, Student D?",teacher,3,0,0.0,,0.0
Five-tenths.,student,1,1,,,
"Okay, so we’re going to say that the tenths fraction tract has a stop halfway through on its track.  Okay? And, good job, he even told me what I need to be labeling that. So here we have – and I’m just going to do this because some of us are – one half.  So Student D, what did you say I’m going to name that other stop?",teacher,68,2,,,0.0
Five-tenths.,student,1,1,,,
Five-tenths.  And how did you know it was going to be five- tenths.,teacher,13,2,,,1.0
Because [inaudible].,student,2,0,,,
"Right, but let’s say, let’s talk about the tenths track, and we know that it’s halfway, right? So what do we know about tenths and halves?",teacher,26,2,,,0.0
Five-tenths is one-half.,student,3,1,,,
"So five-tenths would be equivalent to one-half, right? Because now we’re talking about the tenths track.  We know that with our ruler lined up, that we have a stop halfway through.  And Student D knew that five-tenths was equivalent to one-half, so that is how he figured that one out.  Okay? [0:07:00] Now, let’s put our rulers back on, now we have one-half and five- tenths.  Maybe just a little bit to the left so we can see our markings already.  Are there any other fraction tracks that we can use this line to put our stops on? Are there any other fraction tracks that we can use this line? Student Y, do you want to name one?",teacher,118,13,,,1.0
Three-sixths.,student,1,0,,,
"Three-sixths, good.  So everybody go to their sixths fraction track.  Now this is where the ruler part comes into play. Because remember I said that if it’s not an accurate game board, then tomorrow when we go to play our game it’s not going to be accurate.  So this is where you move your ruler so that you’re lined up with those two fractions, and then you find your sixths track and you draw a dot.  So that’s your stop.  And then we have three-sixths. And how did you know three-sixths was one of them, Student Y? How did you know that three-sixths would be one?",teacher,106,5,,,1.0
Because I know that three-sixths is equivalent to one-half in fractions.,student,11,2,,1.0,
"Perfect.  So, so far, we have three equivalent fractions. Let’s put our ruler back.  Are there any other fraction tracks that we could fill in a stop half way? Student K?",teacher,31,3,1.0,,0.0
"Here, I could put two-fourths.",student,5,0,,,
"Good, so let’s everybody now go to our fourths fraction track and let’s put a stop here and label that two-fourths.  Is there any other fraction tracks that need a stop halfway? Student J?",teacher,34,2,1.0,,0.0
Four-eighths.,student,1,0,,,
"Good.  So we need to go to the eighths fraction track.  We need to line up our ruler, draw our stop in, and label it, four- eighths.  Right? Okay, good.  So now, are there any others before I move on? Are there any other fraction tracks that need a stop halfway? Student K?",teacher,53,4,,,0.0
Two-tenths?,student,1,1,,,
"Two-tenths, would that be equivalent to one-half?",teacher,7,2,,,0.0
No.,student,1,0,,,
