text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
Who copied that?,student,3,0,,,
"Okay.  Student A, the directions were [inaudible].  All right, [inaudible], I’ll wait.  I’ll wait.  The warm-up, the warm- up is gonna be on this sheet.  I’m gonna give you guys three minutes – you look at this graph which is the same graph on the board.  You are going to count the number of students, number of boys, number of girls.  Same as yesterday.",teacher,64,2,,,0.0
I wasn’t here yesterday. ,student,4,0,,,
You don’t need to sit on the carpet.,teacher,8,0,,,0.0
Do you put the numbers on? ,student,6,0,,,
"Uh, no, I’ll help you.",teacher,5,0,1.0,,0.0
Somebody wrote w-w-w that [inaudible]. ,student,5,0,,,
"All right, everybody get a worksheet.  I will give you time to make yours, also.",teacher,15,0,0.0,,0.0
"Ooh, yes.  Ooh. ",student,3,0,,,
Don’t use the same numbers from yesterday – it’s a different graph.  It’s a different graph.  Don’t use the same numbers as yesterday.,teacher,23,2,,,0.0
"Mr. H, I have a [inaudible]. ",student,6,0,,,
"Yes, you’re going to add up the number of students total. That’s the first part of the warm-up.  The number of students total, you’re gonna count all the boys and all the girls – add ‘em up.  That’s why I gave you a calculator. Then you’re just gonna count the boys.  Then you’re just gonna count the girls.  And you have a calculator.  You did the same warm-up yesterday.  Write it down.  No calling out – just write it down.  Just write it down.",teacher,84,4,0.0,,0.0
"So we can use the [inaudible] graph there? Four plus six plus, two, two, plus five – You said 37. ",student,20,1,,0.0,
"Do the work on your sheet.  Just the warm-up, just the number of students.  That’s all you’ve got to do.  Number of boys, number of girls.",teacher,26,0,0.0,,0.0
"37. 37. Number of boys. After we do the numbers of boy students and girls, what are we supposed to do after that? ",student,23,0,,0.0,
"Well, I’m giving you guys one more minute, so if you wait a minute, you’ll be okay.  Thank you.",teacher,19,0,0.0,,0.0
Four plus two plus - ,student,5,0,,,
You can double-check by adding up the boys and the girls.  To make sure they add up to the total number of students.  So do that.,teacher,26,2,0.0,,0.0
"Plus eight, seven, six, and that plus six – ",student,9,0,,0.0,
"All right, pencils down.  Pencils down.  I need you – I’ll explain this now.  All right, sit down, Student C, thank you. Student D, Student M, I don’t appreciate the talking. Put your pencils down.  Okay.  So, this is probably one of the easiest – I’ll wait for Christopher.  Thank you, Christopher, thank you.  This is probably one of the easiest steps.  It is really number of students, it’s just adding the total of boys and girls.  The different ways you can do it, the way I did it, is first I counted the number of boys.  Which is 13.  Then I counted the number of girls – and then added the two together.  And I got 37.  You could have done it differently.  You could have added everything and got 37.  And you could add the boys then add the girls.  I did it a different way, that’s all.  So show me a thumbs up if you got this, these numbers.  I got one, two, three [inaudible].  Thank you.  Set 4 plus 2 is 6, plus 1 is 7.  7 plus 6 is 13.  6 plus 5 is 11.  Plus 7 is 18.  18 plus 6 is 24.  What we’re gonna be doing today is I’m gonna be teaching you how to interpret a graph.  What does that mean, interpret?  Anybody know what interpret means?  Student C?",teacher,228,4,0.0,,0.0
[inaudible] ,student,1,0,,,
