text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
All right.  [Tomorrow] we’re going to play a fraction [track] game.  Look at the fraction track game board that you have in front of you.  Tell me some things that you notice about it.  Yes?,teacher,35,2,,,0.0
It has –,student,3,0,,,
It has fractions on there.,teacher,5,1,,,0.0
[Inaudible.],student,1,0,,,
It starts at 0 and goes to 1.  What starts at 0?,teacher,12,0,,,0.0
[Inaudible.],student,1,0,,,
The beginning of each track starts at 0 and goes to 1.  Yes.,teacher,13,0,,,0.0
[Inaudible.],student,1,0,,,
Yes.  Speak up.,teacher,3,0,,,0.0
[Inaudible.],student,1,0,,,
"Hmm, in order.  What do you mean?",teacher,7,0,,,1.0
"Like one-half, two-thirds, one-fourth [inaudible].",student,5,0,,,
"So each track is going in order from 0 to 1, and say that again, what you just said?",teacher,19,0,0.0,,0.0
[Inaudible.],student,1,0,,,
"Some are done for you and some are missing.  All right. Today [inaudible] marking and labeling your graphs [inaudible] so we can play the game tomorrow.  The materials you can use are your pencil, and I gave you each a ruler.  If you don’t have a ruler, raise your hand.  Perfect.  All right. I also have in here –",teacher,59,3,,,0.0
[Inaudible.],multiple students,1,0,,,
We’re going to shrink it and try to make it –.  I can adjust it.,teacher,15,0,,,0.0
[Inaudible.],multiple students,1,0,,,
[Inaudible.],student,1,0,,,
"Okay.  Let’s look at the halves.  Using your ruler, what do you notice about the halves?  Look at your first draft, the halves.  Using your ruler, tell me something that you notice.",teacher,32,2,,,1.0
[Inaudible.],student,1,0,,,
Give everybody a chance.,teacher,4,0,,,0.0
[Inaudible.],student,1,0,,,
Yes.,teacher,1,0,,,0.0
[Inaudible.],student,1,0,,,
Student C said that she noticed from 0 to one-half was 4 inches.  What else?  Yes?,teacher,16,0,,,1.0
10 centimeters long.,student,3,1,,,
"Or 10 centimeters from 0 to the half.  So I’m going to put my ruler [inaudible] half is 10 centimeters.  You can’t really see that well with mine, but you have your own in front of you.  Then what about one-half to 1?",teacher,43,3,,,0.0
Same thing [inaudible]. [Inaudible.],student,4,0,,,
"Okay.  Student G chose to use the inch side, and she says from 0 to one-half is 4 inches, and from one-half to 4 is also 4 inches.  So, does that prove that the one-half is exactly in the middle?",teacher,40,0,,,0.0
Yeah.,student,1,0,,,
"Okay.  What you’re going to do today is you’re going to fill in the rest of it.  Watch me.  I’m going to show you something that’s going to be a tool that you could use to fill in the rest of it.  I want you to take your ruler and I want you to put in, vertically from the one-half all the way down so that it looks like this, and actually connecting on a dot that’s at the bottom of the fraction track.  Look at what I did.  No.  See, the edge of the ruler.  Edge of the ruler. Not the line in the middle of the ruler.  The edge of the ruler.",teacher,114,8,,,0.0
Can I say something?,student,4,0,,,
There you go.  It’s lined up.  Good.  And that’s it.,teacher,10,1,,,0.0
Anything that’s connected with it [inaudible]. [Inaudible.],student,7,0,,,
What can you tell me is happening labeling this?  Yes.,teacher,10,0,0.0,,1.0
[Inaudible.],student,1,0,,,
What’s a half?,teacher,3,0,,,0.0
[Inaudible.],student,1,0,,,
Okay.  So what he’s saying is the dot at the bottom of the fraction track is also equivalent to one-half.  Where does the fraction track start on this?,teacher,28,3,,,0.0
At 0.,student,2,0,,,
"0 what?  Zero tenths.  So, can somebody tell me what we’re going to label this dot right here?",teacher,18,1,,,0.0
[Inaudible.],student,1,0,,,
"Do you see what I did here, Student M?  So this dot at the bottom here – see where I’m pointing?  What are we going to label that?  You were saying a half, but we’re dealing with zero tenths at the beginning.  So can you think of how many tenths is going to be equal to that?",teacher,57,2,,,0.0
Five.,student,1,0,,,
Five-tenths.  So now label yours five-tenths.,teacher,6,2,,,0.0
[Inaudible.],multiple students,1,0,,,
I heard Student J say because it’s equivalent.  Very good.  So five tenths.,teacher,13,2,,,0.0
So right here [inaudible]?,student,4,0,,,
Line your ruler up.,teacher,4,2,,,0.0
How do we do it?,student,5,0,,,
So one-half is equivalent to how many tenths?,teacher,8,2,0.0,,1.0
[Inaudible.],multiple students,1,0,,,
One-half is equivalent to how many tenths?  How many?  Five tenths.  So what are you going to label this?  Five-tenths. What are you going to label your dot here?,teacher,29,4,,,0.0
[Inaudible.],student,1,0,,,
"Boys and girls, I have it up here, so that you can look to check yours.",teacher,16,0,,,0.0
[Inaudible] is equivalent to [inaudible].,student,5,1,,,
"Oh, can you say it louder?",teacher,6,0,0.0,,0.0
[Inaudible.],student,1,0,,,
"So Student A just said that if he goes down to the fourths, the eighths – which one did you say?",teacher,21,0,,,1.0
The eighths.,student,2,0,,,
