text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
Are we supposed to do it?,student,6,0,,,
"Nope.  We’re going to talk about it really quick.  We have not subtracted fractions yet, right? All right, well, here’s to hoping! Okay, so we’ve been talking about adding fractions, right?  Been working on adding fractions.  What do we need to do when we add fractions?  We’re just going to do a quick review for adding.  Student B, what’s our first step that we need to do?",teacher,67,6,1.0,,0.0
"You write down the fractions, I mean the factors of 8 and then 4.",student,14,2,,0.0,
The factors or the…,teacher,4,1,1.0,,0.0
The multiplication.,student,2,1,,,
The multiples.  So what are the multiples of 8?,teacher,9,2,,,0.0
"8, 16 …",student,3,0,,,
"8, 16 …",teacher,3,0,,,0.0
24.,student,1,0,,,
"Okay, shall we stop there?",teacher,5,0,,,0.0
Yes.,student,1,0,,,
Did you do 4 yet?,teacher,5,0,,,0.0
"4, 8.",student,2,0,,,
And what do they have in common?,teacher,7,0,,,1.0
"8. They have 16 in common too, and 24.",student,9,0,,0.0,
"They do have 16 and 24 in common if we continued on. But you have to do the first number in 32 if we kept going, but we normally pick the first number, right? Student E, what’s our next step that we do now that we have them both circled?",teacher,50,1,1.0,,0.0
"You do how many times you did it.  So like since 8 was only once, you do times 1.",student,19,0,,0.0,
"Okay, so we have to change them so they have the same denominator, right?",teacher,14,1,0.0,,0.0
"You need to do two. You do times 2 for 4, times 2 for 1.",student,15,0,,0.0,
Okay.,teacher,1,0,0.0,,0.0
I can talk for myself.,student,5,0,,,
"Student D, what are our new fractions?",teacher,7,1,0.0,,0.0
3 and 8.,student,3,0,,,
"We can write it up here, 3 out of 8 plus … Okay, when we add them up, what do we get?",teacher,22,1,,,0.0
5 out of 8.,student,4,0,,,
"All right, so we’ve been doing adding for awhile now, right? We did it on this.  We kind of started a little bit yesterday with the clocks.  We’re going to do subtracting fractions today, and then we’re going to practice both of them.  Does anyone have a guess as to how we might solve, for subtracting fractions, how might we start?  What process might we do?  Student C, do you have any thoughts of how we might do subtracting fractions?  We’ve been doing adding, how might we do subtracting?",teacher,89,7,,,1.0
"Oh, do the same thing.",student,5,0,,,
"Okay, so what would I do first?",teacher,7,0,0.0,,0.0
Multiples of 3.,student,3,1,,,
We’ll do it in a different color.  So what would I start with?,teacher,13,0,,,0.0
3.,student,1,0,,,
3,teacher,1,0,,,0.0
6.,student,1,0,,,
6.,teacher,1,0,,,0.0
You need to just leave it there.,student,7,0,,,
"Okay, we can stop.  And then what?",teacher,7,0,0.0,,0.0
And the other one…,student,4,0,,,
6.,teacher,1,0,,,0.0
And you could just circle the…,student,6,1,,,
"Circle the 6’s, okay.",teacher,4,1,1.0,,0.0
And then you count how many [inaudible] to come out to 6.,student,12,0,,0.0,
So how many?,teacher,3,0,1.0,,1.0
2.  You put times 2.,student,5,0,,,
So I multiply by 2.  Then what do I do here?,teacher,11,1,1.0,,0.0
"And the other one, it comes to [inaudible].",student,8,0,,0.0,
"Okay, and then what?",teacher,4,0,0.0,,0.0
You make your new…,student,4,0,,,
Fra…,teacher,1,0,,,0.0
Fraction.,student,1,1,,,
"Fraction, right.  Okay, what’s my new fraction going to be?",teacher,10,2,,,0.0
It’s going to be 4 out of 6.,student,8,0,,0.0,
4 out of 6.,teacher,4,0,1.0,,0.0
And 1 out of 6.,student,5,0,,,
And 1 out of 6.  What am I doing?  I’m…,teacher,10,0,1.0,,0.0
Adding.,multiple students,1,0,,,
"Adding the top numbers. Take away, it’s subtracting.",student,8,1,,0.0,
"I’m subtracting, right?",teacher,3,1,1.0,,0.0
So it’s 3/6.,student,3,0,,,
"So it’s 3 out of 6.  Is that our lowest form, or can we find an equivalent for that?",teacher,19,1,,,0.0
One-half.,student,1,0,,,
"One-half, because three is half of six.  Okay, I’m going to put one up here, a subtraction one, that you’re going to do in your notebook, and then we’ll go over it.  Actually I’ll put two up and then I’ll call two of you to come do the work up here before we go on our own, okay?",teacher,58,1,,,0.0
How do you get a recording acting like that? [In reference to kids in nearby classroom yelling and screaming.],student,19,0,,0.0,
"How did they get a recording acting like that?  Well, I don't know.  Everyone’s different, sweetie. All right, here we go.  So copy these two down in your notebook, please.  So you should have your notebook open, the date, and you’re copying these down. What do we need to do though?  This is 50 percent.",teacher,55,1,1.0,,0.0
Take it away. It’s one and a half.,student,8,0,,0.0,
"Sssh, please don’t yell out.  Please do the work in your notebook.",teacher,12,0,0.0,,0.0
"Miss G, I guess this [week] is going by fast.",student,10,0,,0.0,
Hmm?,teacher,1,0,0.0,,0.0
I said I guess this [week] is going by fast.  Next week is already the 17th.,student,16,0,,0.0,
"Next week really is the 17th, on Friday, yes. Okay, so we’re working on the steps that we already know.  These are the ones that we’re working on.",teacher,28,0,1.0,,0.0
How can you take 3 away from 5?,student,8,0,,1.0,
