text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Good morning, everybody.  Today, we’re beginning our symmetry, and I’m gonna turn this on and ask for volunteers to come up here and explain to me what the lines of symmetry are and why. So, Juan is using the shapes below to learn about symmetry. A says, “Write the letter of the shape that has more than one line of symmetry.”  Could somebody explain to me what a line of symmetry is? Student D?",teacher,74,8,,,1.0
A line of symmetry is like a way that you can pull the shape.,student,14,2,,0.0,
"Good.  So, if you fold the shape, it should look exactly the same on both sides.  Okay.  Can you give me an example of something that’s symmetrical, Student M?",teacher,29,1,1.0,,1.0
A square.,student,2,1,,,
"A square would be symmetrical, because if you folded a square it would look exactly the same on both sides.",teacher,20,3,,,0.0
"Oh, a diamond, ’cause when you fold it.",student,8,0,,1.0,
"Okay.  Good, a diamond.  So, where would a line of symmetry be, Student A?",teacher,14,2,1.0,,1.0
Like if you cut it in half.,student,7,0,,,
"Right.  So, where you fold it or where you cut it in half would be a line of symmetry.  Could things have more than one line of symmetry?",teacher,28,4,1.0,,1.0
Yes.,student,1,0,,,
"How – so, can things have more than two lines of symmetry?",teacher,12,2,,,1.0
Yes.,student,1,0,,,
"Okay.  So, today, we’re gonna see what we have.  So, Juan is using the shapes below to learn about symmetry.  Write the letter of the shape that has more than one line of symmetry.  Who can come up here and help me?  Student A? Careful of the cord, hon.",teacher,49,3,,,0.0
[Inaudible],student,1,0,,,
"Write the letter.  No, it says write the letter of the shape that has more than one line of symmetry. So, he says B.  Can you tell us why?  Could you show us where the lines of symmetry are in B?  Does everyone agree with that?",teacher,46,4,,,1.0
Yes.,multiple students,1,0,,,
"Does anybody think that there is another shape that has more than one line of symmetry?  Student S, what do you think has more than one line?",teacher,27,3,,,1.0
"Oh, more than one line?",student,5,1,,,
"It says more than one line.  So, we want to underline.  What would we underline and write the letter of the shape that has more than one line of symmetry?  So, let’s underline that.",teacher,34,6,1.0,,0.0
[Inaudible],student,1,0,,,
"Okay.  So, it says, “B draw all the lines of symmetry into the shape you named.”  Are there any more lines of symmetry in this?",teacher,25,4,,,1.0
No.,student,1,0,,,
"No, good.  Okay.  So, I’m sorry, Student S, you said that there was one.  Was there another one that you found?",teacher,21,0,,,0.0
"Yeah, it’s C.",student,3,0,,,
"So, can you come up here and show us how C would be a line of symmetry.  Thank you, Student A.  How many people agree with Student S?  Okay.  So, you show me where you think it is Student S. Does that look exactly – let’s take a look.  Does this piece look exactly like this piece if we fold it?",teacher,61,2,,,1.0
Yes. No.,student,2,0,,,
How many people think it looks exactly like it?,teacher,9,0,,,1.0
[Inaudible],student,1,0,,,
"No, I think this piece is gonna be much bigger than this piece when you fold it over.  Okay?  It’s gonna actually go more like this.  Okay.  So, that would not be line of symmetry. Okay.  So, we have B.  How many people got B? Good.  All right. So, draw all – so, now, on the second one.  It says, “The picture below shows one half of a symmetric shape.  The dotted line represents its line of symmetry.  Draw the other half of the shape.”  Student G, you think you can do that?  Would you like to come up and try?",teacher,101,6,,,1.0
Okay.,student,1,0,,,
"Student C, yeah, just get your things and you can go over to [inaudible]. How many people agree with that?  Student G, [inaudible] ’cause, now, I’m gonna have you do one more thing. How many people agree with that?  Okay.  Is there anybody that disagrees with that?",teacher,47,0,,,1.0
Wait.,student,1,0,,,
"Okay.  Can you do me a favor, since you’re up here, can you show me where the lines – if there’s another line of symmetry?  Is there another line of symmetry, do you think? Or is it just that one line of symmetry?  Awesome, that’s great.  Okay.  Everybody agree?",teacher,49,7,,,1.0
Yes.,multiple students,1,0,,,
"Okay.  All right.  Number 3, “Which figure below has only one line of symmetry?  Show how you know.”  So, what am I gonna underline on that?",teacher,26,3,,,0.0
Which –,student,2,0,,,
Which figure below has only one line of symmetry?,teacher,9,2,,,0.0
One line of symmetry.,student,4,2,,,
"Excellent.  One line of symmetry and show how you know.  So, how would you show it?  By doing what?",teacher,19,2,,,1.0
[Inaudible] of symmetry.,student,3,1,,,
By what?,teacher,2,0,,,0.0
[Inaudible],student,1,0,,,
"Yeah, you said by doing –",teacher,6,0,,,0.0
[Inaudible],student,1,0,,,
"– the line in symmetry.  Good.  So, come on up here and show me which one has only one line of symmetry.  Remember what you underlined and go back and read that question afterwards and make sure that you did it right.  Which one has only one line of symmetry?",teacher,50,7,,,0.0
"Do you like the – I mean, the ladder on the bottom or –",student,14,0,,0.0,
"You can circle the one that you think is right, and then I’m gonna ask you to find the lines for me.  So, you want one with only one line of symmetry.  Okay.  So, show me the one line of symmetry.  How many people agree with that? Okay.  Did anybody see another line of symmetry in that shape?",teacher,58,8,0.0,,1.0
"Oh, yeah.",student,2,0,,,
"You did, okay.  Student C, can you come up and show me the other line of symmetry there then?",teacher,19,2,,,1.0
Of the other?,student,3,0,,,
"Is there another one?  Or are the others?  Whatever you want to do.  Oh, no, no.  I’m asking you about the other line of symmetry.  You said there’s another line of symmetry in that shape.",teacher,35,4,,,0.0
Which ones?,student,2,0,,,
"Okay.  It’s a little bit off.  It would go in the middle.  What kind of a triangle is this, everyone?",teacher,20,1,,,0.0
"Oh, oh –",student,3,0,,,
"It’s called in [Elvis] and it’s all the sides are equal, so it’s called an –",teacher,16,0,,,0.0
Equal –,student,2,0,,,
Equilateral triangle.,teacher,2,2,,,0.0
It’s called an equilateral.,student,4,1,,,
"Equilateral triangle.  So, on a equilateral triangle, look, we’ve got a line that comes this way, you got a line that comes this way and you got a line that comes this way.  So, I wasn’t sure that that is the only one with one line of symmetry.  No, that would not be our answer. Student N, you think you know?  Can you come up here?",teacher,66,9,,,0.0
"Oh, I know.",student,3,0,,,
Is Student N – is it okay – did Student N sign the sheet? Double check that.  Make sure he can be in the –,teacher,25,0,,,0.0
Huh?,student,1,0,,,
"Did you sign this sheet so you can be videoed?  We’ll find out. Okay.  So, if we fold this over this way, it will look the same, right?  Can we fold it any other way?",teacher,35,0,,,0.0
No.,multiple students,1,0,,,
"No, we can’t so that’s why we – how many lines of symmetry in G?  Can you show us, Student L?  You think there’s more than one in G?",teacher,29,2,,,1.0
There’s more [inaudible] it.,student,4,0,,,
"Okay.  So, I’m sorry, Student N, you’re in the video.  So, you need to be sitting in the back, hon.  Next time, maybe, more people will bring it. Are there any more than that?  So, if it’s a circle –",teacher,40,1,,,0.0
There’s a lot of lines.,student,5,1,,,
"Yeah, there’s a lot of lines.  Look at this.  So, you can keep going, right?  So, there’s many lines of symmetry in a circle.  What about this one?  Is this one symmetrical?",teacher,32,5,1.0,,1.0
"Yes, yes.",student,2,0,,,
Is F symmetrical?,teacher,3,1,,,0.0
Yes.,multiple students,1,0,,,
"Student K, what do you think?",teacher,6,0,,,1.0
Yes.,student,1,0,,,
"So, you’re saying if you fold F, it’ll look exactly the same on the other side?",teacher,16,0,,,1.0
No.,student,1,0,,,
Who can show me where it was gonna be exactly the same? Student M?,teacher,14,0,,,1.0
Um.,student,1,0,,,
"Okay.  So, then, if I – hold on just a second, honey.  If I fold this, this way, isn’t this gonna look like this? Isn’t this gonna come down?  Yeah, I’m gonna fold this here.",teacher,35,0,,,0.0
Oh.,student,1,0,,,
"Just be at the desk, please, and stay away from that table. It’s broken.  It’s okay.  Just leave it like that, please. Okay.  So, if I fold it, can you see that that wouldn’t be symmetrical?  It would not be the same, ’cause this would come down here.",teacher,48,1,,,0.0
Yeah.,student,1,0,,,
