text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Hi.  Good morning, class.  Today we're gonna work with multiples of tens and multiplying multiples of tens.  And I need someone to read the objectives that are in purple and red up on the board.  Can I have a volunteer, please?  It can be someone in front of the camera.  It can also be someone behind the camera.  If you're not on the camera, that's okay.  Still willing to listen to your voice. Student G, would you like to read what's up in purple?",teacher,84,3,,,1.0
I will notice all [Inaudible] –,student,6,0,,,
And?,teacher,1,0,0.0,,1.0
And understand what happens when I multiply –,student,8,1,,0.0,
Multiply.,teacher,1,1,1.0,,0.0
Multiply a number by multiples –,student,6,2,,,
Multiples of?,teacher,2,1,1.0,,0.0
Of ten.,student,2,0,,,
"So I will notice and understand what happens when I multiply a number times 20.  That same number times 30.  Student R, could you read the language objective, please?",teacher,29,1,,,0.0
"I will write down the multiples of a two-digit number and will tell, write, or experience how I got my answers.",student,21,2,,0.0,
"So you're gonna work with some two-digit numbers that are multiples of 10.  All right?  Now we need to go through our math to-do lists.  And this is what we're gonna do in order.  Student J, what's our first step?",teacher,40,2,1.0,,0.0
Solve the questions on page 41.  Draw a representation of your solution on paper then you write the word problem [under it].,student,22,1,,0.0,
You're gonna work with a partner to solve the word problems on showing your solution and then write the word problem underneath it.  Step three.,teacher,25,1,1.0,,0.0
"Work on the problems on pages 42 and 43 using grid paper, [Inaudible], and the multiplication [chart].",student,17,1,,0.0,
So what you're gonna do is when you're done with page 42 and 43 you're gonna be – show how you can prove your answer and then the last five – hopefully the last five minutes of class or so we will fill in that chart using what we've learned in class today.  It's recording right now.  Student G?,teacher,59,0,1.0,,0.0
What unit are we supposed to be doing?,student,8,1,,0.0,
We're – this is – this is always unit three.  We're gonna be working unit three for probably the next week and a half. Student R?,teacher,26,2,1.0,,0.0
"So it's unit three, right?",student,5,1,,,
"Unit three, page 41.  You may work in partners.  Why don't you work with someone who's already sitting at your table to make it easy?",teacher,25,1,1.0,,1.0
"Mr. A., can I use the bathroom?",student,7,0,,,
"[Inaudible] So Student S, this is the question that you're gonna work on.  Miss S sells bags of oranges in a grocery store. There's four oranges in each bag.  David bought six bags of oranges to his class, so how many did David buy? Nope.  Put those back.  You're gonna draw these.",teacher,52,0,0.0,,0.0
It would be four of six.,student,6,0,,,
"Shh.  The instructions said that you're gonna draw how you solve it.  We're not using – we're not using those yet. Student S, go ahead and place them in the bins so they don't break up.  Thank you.  [Inaudible]  Go ahead and throw out the [gum] all right?  Sit down.  Student S, sit down.",teacher,54,0,0.0,,0.0
Only he doesn't want me to sit down.,student,8,0,,0.0,
No.  You just sit there.,teacher,5,0,1.0,,0.0
Why does she get [out there]?,student,6,0,,,
There are five there.,teacher,4,0,0.0,,0.0
Miss S sells bags of oranges in a grocery store.  There are 12 oranges in each bag.  David brought six bags of oranges to bring to his class.  How many oranges did David buy?,student,34,0,,0.0,
So how could you draw a picture showing how you figured it out? Or could you draw a picture that represents it that would help you solve it?,teacher,28,0,0.0,,1.0
Like an array.,student,3,1,,,
Sure.,teacher,1,0,,,0.0
[Inaudible] that represents the oranges.,student,5,0,,,
"You could do that as well.  Whatever you're most comfortable with.  This is for Step 2.  You're gonna solve the questions on 41, page 41.  And then you're gonna choose one of the two to draw a picture and show how you solved it. And you could just be copying down what you had here.",teacher,55,0,0.0,,0.0
I want to use the [Inaudible].,student,6,0,,,
"Student S, when you're done with that question move on to board.  Step two.  Hmm?  What does step two say?",teacher,20,0,0.0,,1.0
If we're talking can the recorder –,student,7,0,,,
It'll record – probably record your voice but it won't record a picture of you.,teacher,15,0,1.0,,0.0
It will record my voice?,student,5,0,,,
"Mm-hmm.  It's recording right now.  So Student J, open up to page 41.  Hmm?  So, Student T, open up to page 41.",teacher,22,0,1.0,,0.0
[Student C] smelled oranges.,student,4,0,,,
Mm-hmm.,teacher,1,0,,,0.0
[Inaudible]  Where's the other part?,student,5,0,,,
"So what I want you to do is solve question one.  Student J, let's put",teacher,15,0,0.0,,0.0
The machine is recording me.,student,5,0,,,
Pencils over here.  Put the other pencils over here and solve this one.  If you need manipulatives to solve two then I'll let you get them then 'cause two is kind of different.,teacher,33,0,0.0,,0.0
Are we gonna watch the tape?  Hear –,student,8,0,,0.0,
I'm not even gonna watch the tape.  I'm just gonna send it in.,teacher,13,0,1.0,,0.0
Who's gonna watch the tape?,student,5,0,,,
The researchers who want us to analyze or observe our math lessons.,teacher,12,0,1.0,,0.0
What happens if something bad gets on the tape?,student,9,0,,0.0,
Then I'm sure it will be dealt with.  But there's nothing bad that's gonna be on the tape.,teacher,18,0,1.0,,0.0
Yeah.,student,1,0,,,
So solve this.,teacher,3,0,,,0.0
What if one of us did have a problem with each other?,student,12,0,,0.0,
I'm not gonna talk about that right now because it's more than likely to have someone try and make that happen.  So we're just gonna get our math work done.,teacher,30,0,1.0,,0.0
Student J?,student,2,0,,,
Yes.,teacher,1,0,,,0.0
Yesterday about the [book]?,student,4,0,,,
Mm-hmm.,teacher,1,0,,,0.0
Technically it wasn't actually me who wrote it and so I only took the blame because of – I wanted a,student,21,0,,0.0,
[Diploma]?,teacher,1,0,0.0,,0.0
Yeah.  To have a party.,student,5,0,,,
Okay.  All right.  So you didn't in fact write it?,teacher,10,0,0.0,,0.0
Nuh-uh.,student,1,0,,,
"Okay.  Well, let me pass that along to Ms. C., okay?",teacher,11,0,,,0.0
Okay.,student,1,0,,,
I'll do that.  Thank you for telling me.  All right?,teacher,10,0,,,0.0
May I please have a pencil?,student,6,0,,,
Right over there.  Hmm?  You have two minutes.,teacher,8,0,0.0,,0.0
Can I go after her?,student,5,0,,,
Go – actually let's wait a second.  What work have you done so far?  Work on it.  Get something –,teacher,20,0,1.0,,0.0
Can I work on [Inaudible],student,5,0,,,
"Mm-hmm.  What are we doing right now?  Page 41, please.",teacher,10,0,1.0,,0.0
He said a bad word. Did I say a bad word?,student,11,0,,0.0,
Yes?,teacher,1,0,0.0,,0.0
Are we supposed to do this from two or – ?,student,11,0,,0.0,
"Yes.  And if you need to use grid paper or [300th] chart or cubes, you can use those.  Okay?",teacher,19,1,0.0,,0.0
For this?,student,2,0,,,
"Mm-hmm.  Okay, Student S, now that you solved it this way I want you to draw a picture of how you solved it and then write the word problem underneath it.  Mm-hmm.",teacher,32,0,,,0.0
[Inaudible] paper?,student,2,0,,,
Step two.  You're gonna draw how you solved it.  I actually want to see it on paper.  I want to see that on this paper.,teacher,25,0,,,0.0
So I solve it again?,student,5,0,,,
No.  You can just copy that down onto here.  Put your name down,teacher,13,0,1.0,,0.0
For which problem?  Problem one or problem two?,student,8,0,,0.0,
Either one.,teacher,2,0,1.0,,0.0
And then right a story about it?,student,7,0,,,
"No.  Let go.  We keep our hands to our self, Student J.",teacher,12,0,0.0,,0.0
And then – ?,student,4,0,,,
[Inaudible]  Hmm?,teacher,2,0,,,0.0
Do I have to draw a different story [probably]?,student,9,0,,0.0,
Or show how you solved it on paper.  No.  I don't want you to write a story problem.  I want you to show how you solved one of these problems on the paper.  So either copy that down onto here or copy this down onto –,teacher,46,0,1.0,,0.0
[Inaudible] word problems?,student,3,0,,,
