text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Okay, now, today’s focus on our lesson, boys and girls, is going to be on – if you look at our goal, it’s written on the board, and please do that right now.  And you should be turning to Page 1 in your workbook – is we’re going to describe three-dimensional solids using their attributes or properties.  Now that’s a big word, Student S, attributes or properties, but I’ll break it down for you.  Sit down. Okay, you’re not doing that right now, please. So basically what we’re going to be doing is you’re going to be describing these shapes to other people.  So what you’re going to do – and you’re gonna be in a group and you’re gonna get a bag.  And in this bag are all these …",teacher,131,3,,,0.0
Little cubes.,student,2,1,,,
"The people that can’t control themselves will get checks for their behavior.  Look at the solids that are on your paper. Everyone take a look at them right now.  How many of you remember working with these solids from third grade?  Okay so some of you had these solids in third grade.  Now, in this bag are all the solids that are on your paper, and this is our activity today. So we want to be able to describe these solids, but for right now we’re not gonna use these names.  So if I say this is called – if you see this on your paper, can someone tell me what it’s called on your paper?  Oh, good hands up. Student T?",teacher,122,0,,,1.0
[Inaudible],student,1,0,,,
"Okay, you have to – a rectangular prism.  Now …",teacher,10,2,,,0.0
Square prism.  It’s a square prism.  Square prism. Shhh!,multiple students,9,6,,0.0,
"Thank you for those of you that didn’t make comments.  If you have to disagree with that, then you can raise your hand and tell us you disagree and why.  Student T?",teacher,32,0,0.0,,0.0
"I disagree because the rectangular prism is like, kind of a square, and the square prism is just like that.",student,20,5,,1.0,
"So we’re gonna talk a little bit about more why this is called a square prism and the other one’s called a rectangular prism.  Technically, you could call this a rectangular prism because a square is a rectangle, but we’re gonna – we’re not gonna worry about the names.  Student K, it’s not gonna help you if you just remember names of 3-D shapes. It’s really not gonna help you.  What’s gonna help you to start to understand the characteristics of them.  What – how can we describe them.  So like Student T started to say, this one looks rectangular or this one has a square. So what you’re going to do is you’re gonna be in a group either of three or four.  One person’s gonna get the bag.",teacher,130,10,1.0,,0.0
Me.,student,1,0,,,
"Please, please, please listen to the directions.  One person will have a bag.  One person will have a piece of paper, and the two other people are gonna be guessers.",teacher,30,0,,,0.0
I’ll guess. Thought we played this last year.,student,8,0,,0.0,
"So we’re gonna model this.  Yes, you probably did play it last year.  I don’t remember playing it last year, so we’ll pretend that I’m in Students J and A’s … I’ll wait till everyone knows what we’re doing.  Let’s pretend Student L is gonna get the paper first.  You two are gonna be my guessers, you and you.  Okay, I’m the person with the bag. I reach my hand here.  I do not pull out a shape.  I take the shape in my hand and I start to feel around and I want to start describing it.  The words I use to describe it, Student L describes.  He’s gonna write down those words. Students J and A have their paper in front of them. They’re gonna try and guess using the paper they have in front of them.  Okay so ready … I’m gonna start.  Student L, he’s reporting.  His pencil’s out.  He’s not guessing. These two are guessing.  It feels flat.  He’s writing it down.  Wait, not yet.  I’m gonna [inaudible].  It has one, two … it has eight points, eight corners.  It has six spaces.  I think there’s some squares on it.",teacher,195,1,1.0,,0.0
Rectangular prism probably. This is gonna be a [inaudible].,student,9,2,,0.0,
What do you guys think?,teacher,5,0,0.0,,1.0
Square?,student,1,1,,,
"Okay, okay.  Now I’m gonna pull it out.  I’ve given four examples, four things.  I pull it out and it’s …",teacher,21,0,,,0.0
I said [inaudible].,student,3,0,,,
"Now, what happens?  Now, what happens next?  What happens next is I pass this – we go in a clockwise.  I pass the bag to Student L.  Student L passes the paper to Student J. Student A is still a guesser.  I’m a guesser.  Now, go ahead.",teacher,47,0,,,0.0
It feels funny.,student,3,0,,,
"Okay, pick one, pick one.",teacher,5,0,,,0.0
It feels kind of round.,student,5,0,,,
"It feels round on the side.  Okay so I’m looking here. I’m thinking which ones look round, okay?  Shhh.",teacher,19,0,1.0,,0.0
It’s probably [inaudible].,student,3,0,,,
"It does.  Okay, you need to be writing this down.  It feels round.  It doesn’t have any points, okay.  Shhh, shhh, shhh.",teacher,22,0,,,0.0
[Inaudible] two faces.,student,3,0,,,
"You think there’s two faces.  So Student A, you think you’ve got [inaudible].",teacher,13,0,,,0.0
[Inaudible],student,1,0,,,
Said it has two faces.,teacher,5,0,,,0.0
A cylinder?,student,2,0,,,
"Okay before I pull it out, I want to make sure everyone hears. Student A, go ahead?  What do you say?",teacher,21,0,,,1.0
Cylinder?,student,1,0,,,
So I’m gonna pull it out and let’s see.  Okay so it’s the cylinder.,teacher,14,0,,,0.0
"[Inaudible] still in there.  She put that [inaudible]. You like Superman, right?",student,12,0,,0.0,
"No, you can put it back in because someone might describe it in a different way.  Now what would happen next?  Who can tell me what would happen?",teacher,28,0,0.0,,1.0
Pass the bag.,student,3,0,,,
Tell me what would happen.  Someone raise their hand.  Student S?,teacher,11,0,,,0.0
You pass the bag to the next person.,student,8,0,,0.0,
And then what does the notetaker get?,teacher,7,0,0.0,,0.0
Next person.,student,2,0,,,
Next person so okay.  You guys get how it works?,teacher,10,0,,,0.0
Yes.,multiple students,1,0,,,
"Okay so we’re gonna stop and we’re gonna work in groups.  I’m waiting to show me respect.  Student T is waiting patiently.  What you should do I’ll clarify, but I’m gonna ask Student T first because he had his hand up patiently. Yes, Student T?",teacher,45,0,,,0.0
Why are there like two cylinders?,student,6,0,,,
They have two different examples.,teacher,5,0,1.0,,0.0
Was that one [inaudible]?,student,4,0,,,
"Okay, Student L, at – we’re gonna start working again.  Yes?",teacher,11,0,,,0.0
May I get a drink of water?,student,7,0,,,
"No.  When we start working, Student L, what’s your question?",teacher,10,0,1.0,,0.0
I want to guess right away.,student,6,0,,,
"Okay, it’s not about you guessing right away.  It’s about you and the person who’s guessing with you – ‘cause there’s two people guessing or sometimes just gonna be one – you’re thinking about it.  You should have three or four descriptions written down before you guess.",teacher,47,0,1.0,,0.0
"Last year or something I thought [inaudible] like the two [inaudible] or something. Yeah, it is.",student,16,0,,0.0,
"Nope, they’re not officially [inaudible].  You might’ve seen a [fat one] on the video, but we don’t describe shapes that way.  All right, now …",teacher,25,0,1.0,,0.0
You’re fat.  You’re skinny.,student,4,0,,,
"Before we start, before we start, I want to go back to our goal.  Our goals of today are not just to play a game.  Our goals of today are to begin to understand what the attributes or properties of of these different shapes.  So obviously, if we think about what Student L just described the cylinder, the cylinder has different properties.  It is rounded.  It is not flat.  That’s a different property than the rectangular prism, so your brain is starting to classify these in different ways.  Some of you may remember that on the test yesterday that you took, the predictive test, there was a question on there that said “What is true about a cube?”  And it said it had like six faces or sides.",teacher,128,4,,,0.0
"Oh yeah, yeah, yeah.",student,4,0,,,
