text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Okay, good morning.",teacher,3,0,,,0.0
Good morning.,multiple students,2,0,,,
So we’re gonna get started on our multiplication today.  So we have two ultimate goals.   The first goal is to use the words “factor” and “multiple” correctly.  So we have our assessment on Friday.  We started the unit like this.  So who can raise their hand and identify what the factor is and what the multiple is?  And I’ll help everybody out. Student E?  Nice and loud.,teacher,67,4,,,0.0
A factor is – a factor is the two numbers that should go into a product.,student,16,1,,0.0,
"So, when I’m looking here, the factors are 47 and 3.  Okay? Yup.  And who can identify what a multiple is?  Student J?",teacher,23,2,1.0,,0.0
"A multiple is like skip counting.  If you skip counting by 8’s, it would 8, 16, and 24.",student,18,1,,1.0,
"So, if you’re skip counting by 8’s, it would be 8, 16, 24. Alright.  What is the major multiple we’ve been talking about during this unit of study that I want everybody to be able to find at all times?  Which multiple, the first?",teacher,44,3,1.0,,0.0
No.,multiple students,1,0,,,
No.  Second?,teacher,2,0,,,0.0
No.,multiple students,1,0,,,
Which one?,teacher,2,0,,,0.0
The tenth multiple.,student,3,2,,,
The tenth multiple.  So if you take a look at these strategies that we talked about yesterday – Student J?,teacher,20,2,,,0.0
[Inaudible].,student,1,0,,,
"I put up here the tenth multiple in pink.  So when we talked about breaking up numbers in other ways, one of you – I can’t remember who – you took 47 and you broke it up by finding the tenth multiple, the tenth multiple, the tenth multiple, the tenth multiple and then the seventh multiple. Okay?  And that’s one way to break up numbers.  So anytime you feel lost in multiplication, go into that number and picture the day we did multiple towers.  We were skip counting.   What’s the first multiple of 47?",teacher,94,14,,,0.0
47.,student,1,0,,,
What’s the next multiple?  Student [T]?,teacher,6,1,,,0.0
Like 94.,student,2,0,,,
94?  Does anyone agree with that?,teacher,6,0,,,1.0
Yeah.,student,1,0,,,
How did you get 94?,teacher,5,0,,,1.0
I don't know.,student,3,0,,,
I see Student J trying to figure out if it is 94.  Do you agree?,teacher,15,0,,,1.0
It is.,student,2,0,,,
"Student [N], what do you think it is?",teacher,8,0,,,1.0
150.,student,1,0,,,
"150?  Let me ask you this.  If we can find the tenth multiple, does it matter what the second multiple is?",teacher,21,3,,,1.0
No.,multiple students,1,0,,,
"No.  And that’s why we do the tenth multiple.  Because when we have these larger numbers, it gets really tricky to skip count.  It’s easier when the multiples are multiples of 8. Can I hear you say your multiples of 8? to elevate and multiple by 8. Now, if we tried that for 47’s, we don’t have to do it because we wouldn’t be that good.  Okay? So we find the tenth multiple of 47; then that works for us.  Now here, are we finding the tenth multiple of 47?",teacher,90,10,,,0.0
No.,student,1,0,,,
Mm mm.  What are we trying to do here?  ‘Cause this was the confusion yesterday when you see 10.  What are we finding over here?  What are we really skip counting by here? Student [A]?,teacher,35,0,,,0.0
10; no 3.,student,3,0,,,
"We’re really skip counting by 3’s, okay?  So when you, when you break up this 47, what you’re doing here is you’re finding the tenth multiple of 3.  Now does anybody in here know the tenth multiple of 3?",teacher,39,4,,,1.0
30.,student,1,0,,,
"30, okay? So, in this situation, we’re finding – we’re thinking about 3, the factor 3; that’s the one we want to skip count by.  So this is the tenth multiple of 3.  This is the tenth multiple of 3; the tenth multiple of 3; the tenth multiple of 3, and the what multiple?",teacher,54,9,,,0.0
Seventh.,multiple students,1,0,,,
"The seventh multiple of 3.  Okay?  So, when you’re thinking about those numbers, in this situation I only have three groups of 47, okay?  And so in third grade we talked about thinking about these groups of numbers, okay?  In 47; but I think before you started this unit, I might have seen a lot of people take this equation and do this and add them up. Okay?  And I don’t see that now which I’m very happy about. So today, as you go into your multiplication work, one of the ways you might think it is to break up one of the numbers, one of the factors, okay? Now here’s another way somebody shared yesterday to break up 47.  Do you agree that 47 is a 20 plus a 20 plus a 7?",teacher,134,6,,,0.0
Yeah.,multiple students,1,0,,,
Yeah.  And what is 20 times 3 and how did you do it?  Hands. What is 20 times 3 and how did you do it? Student N?,teacher,27,0,,,1.0
It’s 60.,student,2,0,,,
It’s 60.  And how did you get that?,teacher,8,0,,,1.0
Because I know 2 – 2 times 3 is 6 and all you have to do is add a zero and you have 60.,student,24,1,,1.0,
Okay.  Can somebody else explain what 20 times 3 is and how they got it?  Student J?,teacher,17,0,0.0,,1.0
"‘Cause if zero times 3 is zero times, zero down and then like times; 2 times 3 and then that would be 6.",student,23,0,,1.0,
"Okay.  Another way.  Can somebody else explain how they got, they can do 20 times 3?  Thinking about the work we’ve done around making it 10 times bigger and try to use that as your explanation in explaining it to us.  Student G.  Nice and clear.",teacher,46,0,0.0,,1.0
I know because 10 times 3 is 30 and 20 is a double of 10 and that would – and if you do 30 plus 30 it would be 60.,student,30,0,,1.0,
So she’s actually breaking up the 20 in her mind into 10 times 3 plus 10 times 3.  Okay?  And 30 plus 30 is the 60.  Now who knows how to do what Student N said – 2 times 3 equals 6?  And Student N said we add a zero.  But is 6 plus zero 60?,teacher,56,1,1.0,,0.0
No.,multiple students,1,0,,,
No.  What is that language that I want us using?  Student [E]?,teacher,12,0,,,0.0
2 times 3 equals 6.,student,5,0,,,
Yeah.,teacher,1,0,0.0,,0.0
6 times 10 equals 60.,student,5,0,,,
"Okay.  So we’re making this 6 ten times bigger.  We made the 2 ten times bigger here.  So our answer we also want to be ten times bigger. Okay.  We picture that small array – I’ll draw it on the board.   We picture the 2 by 3 being a 6 and then, when we’re making it 10 times bigger, instead of a 2, we’re turning it into a 20.  So we’ve done this 6 ten times.  The 3 hadn’t changed. That factor stayed the same – 1, 2, 3, 4, 5, 6, 7, 8, 9, 10.  So the 3 hadn’t changed, but we did the number 2, 2 rows, 10 times.  So can you count by 2’s for a minute? So now we had stretched it out to 20 rows, okay?  And as Student [E] had said, 6 times 10 is 60.  And I’ve got ten 6’s here.  Alright.  So it’s okay to understand what Student N was saying because that’s how we come into this. We see it like that.  We’re putting a zero here.  But, as far as the math that goes into that, remember that we’re stretching out this number 10 times.  Alright. So one of the strategies you can use today is breaking up the number in any way.  Another strategy is breaking up the numbers by place.  Student J, your eyes should be up here please.  So why did I say breaking it up by place when you look at this?  How do you know that’s by place?",teacher,253,1,1.0,,0.0
How do you know it’s by place?,student,7,0,,,
