text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
Okay.  Let’s begin.  Objective reader.  Who’s my objective reader?  Student E?  Go ahead and read the math objectives for today.,teacher,20,0,,,0.0
[Inaudible],student,1,0,,,
"Okay, now, use a voice in which we can all hear you.  So go back and read it again using a big boy voice.",teacher,24,0,,,0.0
Students will be able to find the simplest form of fractions. Students will be able to explain their solutions to a partner.,student,22,2,,0.0,
Much better.  Okay.  I’m going to put a fraction on the board. I want you to put that fraction in its simplest form. [Whispering in Spanish],teacher,26,2,1.0,,0.0
Forty.  Forty.  [Inaudible],student,3,0,,,
"When you have figured it out, raise your hand.  And I want you to share how you figured out how to get the simplest form of a fraction.  You’re making it bigger.  Is that what simple means?  What does simple mean?  To make it bigger or smaller?",teacher,47,1,,,1.0
Smaller.,student,1,0,,,
"Okay.   Student L, how did you get the simplest fraction?",teacher,10,1,,,1.0
Ten goes into eighty eight times and then ten goes into 200 twenty times.,student,14,0,,0.0,
So then what ended up being your fraction?,teacher,8,1,0.0,,0.0
[Eight.],student,1,0,,,
So that’s one possible answer.  What’s another answer?  Student M?,teacher,10,0,,,0.0
[Inaudible] goes into 20 [Inaudible] eight two times.,student,8,0,,0.0,
So breaking this down by four?  So what’s your fraction?,teacher,10,1,0.0,,0.0
[Inaudible],student,1,0,,,
Anybody else have anything that they did?  Wander?  Share with the class.  You raised your hand.,teacher,16,0,,,1.0
[Inaudible],student,1,0,,,
Sh!,teacher,1,0,,,0.0
I bring [Inaudible] into [Inaudible] and 200 into 2 and [Inaudible] four [Inaudible] two one [Inaudible] 20 over 50.  And I break that into two again ten over 25.,student,29,0,,0.0,
"So, it took you a long time to do that, no?",teacher,11,0,0.0,,0.0
[Inaudible],student,1,0,,,
"That’s the problem.  Some of us know how to find a simpler fraction but we don’t know how to find the simplest fraction.  So, if you think that the simplest fraction is eight twentieths, raise your hand.   If you think the simplest fraction is two fifths, raise your hand.  If you think the simplest fraction is ten over 25, raise your hand.  Okay.  Lights, camera and action.",teacher,67,5,,,0.0
[Inaudible],student,1,0,,,
"I know I did not hear people speaking, especially when my back is turned. Okay.  So this is what we have to do when we have to find the simplest fractions.  What we do is we look at the factors of the numerator and the denominator.  What’s factors again?  I totally forgot what factors means.  What does it mean to find a factor of a number?  Student A?",teacher,68,6,,,1.0
[Inaudible],student,1,0,,,
To find a number that multiplies?,teacher,6,1,,,0.0
Factor is a number that you can replace [Inaudible].,student,9,0,,0.0,
Okay.  Another explanation?  Student M?,teacher,5,0,0.0,,1.0
A number that goes into another number evenly?,student,8,0,,0.0,
"Excellent.  A number that goes into another number evenly.  For example, what you said Student A.  I knew exactly what you were talking about but those are better words.  It makes it simpler to understand, okay? So let’s do the factors of the numerator for letter A.  What are the factors for the numerator of letter A?  What are the factors of two?  What numbers go into two evenly?  Student J?",teacher,71,5,1.0,,0.0
One.,student,1,0,,,
One and?,teacher,2,0,,,0.0
[Inaudible] Two?,student,2,0,,,
"One and two, good.  What are the factors of eight?  What are the factors of eight?  Student J?",teacher,18,2,,,0.0
"Two, four and eight.",student,4,0,,,
Are you missing one?,teacher,4,0,,,0.0
