text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
"Okay, class.  Let’s continue.  So, some of ‘em we went over. What do you think of – well, what comes to mind when you think of the word measurement, Student J?",teacher,31,1,,,1.0
Weight.,student,1,0,,,
Weight.  Excellent.  Weight is definitely a great one.  Someone else?  Student D?,teacher,12,0,,,1.0
Numbers.,student,1,0,,,
Numbers.  Yes.  Numbers.  Someone else?   Student D?,teacher,7,0,,,1.0
Inches?,student,1,0,,,
Inches.  Yes.  Inches is definitely a great one.  Student T?,teacher,10,0,,,0.0
Centimeters.,student,1,1,,,
Centimeters.  Okay.  Student E?,teacher,4,1,,,0.0
Directions.,student,1,0,,,
Directions.  Okay.  I’ll put directions.  Why do you think of directions when you think of measurement?,teacher,16,1,,,1.0
Because everything has directions to it.,student,6,0,,,
Okay.  So you need directions or formulas or something like that.  Okay.  Student T?,teacher,14,0,1.0,,0.0
Math.,student,1,0,,,
Math.  Measurement is definitely a part of math.  Student D?,teacher,10,1,,,0.0
Yardsticks.,student,1,1,,,
A yardstick.  Yeah.  Definitely a yardstick.  Okay.  Anyone else?  Student K?,teacher,11,2,,,1.0
A ruler.,student,2,1,,,
"A ruler, yes.  Excellent.  Ruler is definitely one of something that has to do with measurement.  Student J?",teacher,18,3,,,0.0
A number line?,student,3,1,,,
"Number line.  Okay.  Number line.  Why do you think of a number line, Student J?",teacher,15,3,,,1.0
Because it has like numbers on it and it can like measure.,student,12,1,,1.0,
Okay.  Because it has numbers on there and it could possibly measure something.  All right.  Someone I haven’t heard from?  Student T?,teacher,22,1,1.0,,0.0
A clock.,student,2,0,,,
"A clock.  You think a clock is a form of measurement?  Okay. Great.  Excellent.  I really like that one.  That’s different.  I wasn’t expecting to hear clock.  Anyone else? Student D, you have another one?",teacher,35,1,,,1.0
Do you have ruler?,student,4,1,,,
"Okay.  Yep.  We already have ruler here, but, yep.  There’s definitely something that may come to mind.  Student T?",teacher,19,1,,,0.0
[List.],student,1,0,,,
"List?  Oh, that’s one we don’t have yet.  Lyric.  Again.",teacher,10,0,,,0.0
Questions?,student,1,0,,,
Questions.   Okay.  Why questions?,teacher,4,0,,,1.0
‘Cause you might not understand and you can ask questions about it.,student,12,0,,1.0,
Okay.  You can ask questions about it.  Student T?,teacher,9,0,1.0,,1.0
Height.,student,1,0,,,
"Height.  Ah, that’s a good one.  [Inaudible]  Height.  Okay. Anyone else?  Student K?  Last one.",teacher,15,0,,,1.0
Feet.,student,1,0,,,
"Feet.  All right.  Feet.  Wow.  These are all excellent answers.  Those are all excellent answers as to something that you may think about when you think about measurement. Today that’s what we’re going to be working on.  One of our units in math is measurement and we really haven’t touched on it yet but today I want to just kind of introduce you to measurement because a lot of the times a teacher will say, “Okay, we’re gonna work on measurement.  First we’re gonna talk about perimeter and then we’re gonna talk about area. And then we’re gonna talk about volume and you really don’t get to see, play around, touch, feel, understand what it is that is being measured, what you need to use to measure something, all of those different things.  And when to use something and when to not use something when you are measuring something. So, first we’re gonna start off, I’m gonna give you your sheet that we’ll walk through today during our assignment.  Then once we’re finished you’ll have an activity on the back to complete on your own.  So, today, we’re just gonna get started.  We’re gonna talk about the different attributes and units of measurement.  That’s our vocabulary for today. Attributes and units.  And you’ll find out what measurement is.  The definition of measurement in one moment. Can I have the paper collectors hand out – I mean paper passers hand out the papers to everyone in the class.  Once you get your paper, make sure you write your name and today’s date at the top of your page and today’s assignment is all about measurement, introduction to measurement.  Oh, you forgot Student D. Okay.  So, now that you have your paper, does everyone have their name and today’s date at the top of their page?",teacher,304,20,,,0.0
Yes.,multiple students,1,0,,,
